Cod	Origem	Estoque
126	Bra	 114.369 
127	Chi	 115.314 
128	Chi	 121.872 
129	Arg	 53.740 
130	Bra	 116.825 
131	Bra	 81.074 
132	Chi	 138.171 
133	Arg	 8.400 
134	Por	 68.169 
135	Chi	 106.784 
136	Chi	 81.864 
137	Bra	 119.779 
138	Arg	 99.580 
139	Chi	 71.582 
140	Chi	 69.887 
141	Arg	 53.877 
142	Bra	 136.379 
143	Arg	 62.401 
144	Arg	 125.937 
145	Arg	 27.516 
146	Chi	 64.349 
147	Arg	 129.774 
148	Arg	 116.669 
149	Bra	 5.760 
150	Bra	 105.506 
151	Chi	 119.312 
152	Chi	 109.540 
153	Arg	 73.520 
154	Por	 41.738 
155	Por	 2.622 
156	Bra	 109.328 
157	Por	 77.765 
158	Por	 69.084 
159	Bra	 52.885 
160	Chi	 110.342 
161	Por	 107.085 
162	Chi	 107.156 
163	Bra	 59.009 
164	Bra	 63.264 
165	Bra	 22.574 
166	Chi	 105.852 
167	Arg	 12.621 
168	Arg	 45.677 
169	Chi	 28.908 
170	Arg	 11.091 
171	Arg	 74.609 
172	Por	 100.684 
173	Arg	 11.883 
174	Por	 55.722 
175	Chi	 40.458 
176	Arg	 42.964 
177	Arg	 42.101 
178	Chi	 53.330 
179	Arg	 34.526 
180	Bra	 68.184 
181	Por	 133.951 
182	Arg	 109.964 
183	Bra	 8.739 
184	Arg	 100.819 
185	Arg	 36.869 
186	Por	 64.238 
187	Chi	 123.461 
188	Por	 100.108 
189	Por	 9.343 
190	Por	 120.659 
191	Por	 63.040 
192	Chi	 52.697 
193	Por	 36.236 
194	Arg	 105.812 
195	Chi	 129.100 
196	Bra	 32.639 
197	Por	 108.476 
198	Chi	 83.127 
199	Chi	 91.750 
200	Bra	 124.137 
201	Bra	 139.390 
202	Chi	 131.220 
203	Chi	 95.760 
204	Por	 18.061 
205	Chi	 16.552 
206	Por	 44.707 
207	Arg	 95.797 
208	Arg	 111.625 
209	Bra	 2.694 
210	Arg	 80.007 
211	Bra	 3.418 
212	Arg	 117.631 
213	Bra	 20.553 
214	Chi	 88.418 
215	Chi	 125.522 
216	Bra	 92.550 
217	Por	 40.369 
218	Arg	 74.966 
219	Bra	 9.286 
220	Bra	 25.015 
221	Bra	 77.387 
222	Bra	 86.194 
223	Chi	 22.612 
224	Arg	 112.483 
225	Chi	 111.107 
226	Por	 8.604 
227	Por	 19.790 
228	Chi	 88.198 
229	Arg	 16.939 
230	Arg	 81.571 
231	Bra	 94.629 
232	Por	 129.742 
233	Arg	 5.332 
234	Bra	 57.746 
235	Chi	 33.980 
236	Bra	 41.105 
237	Por	 126.531 
238	Arg	 71.766 
239	Por	 51.866 
240	Por	 78.988 
241	Chi	 28.254 
242	Chi	 62.190 
243	Bra	 105.765 
244	Bra	 104.369 
245	Arg	 52.178 
246	Chi	 78.064 
247	Bra	 97.611 
248	Bra	 14.913 
249	Bra	 86.174 
250	Arg	 95.728 
251	Arg	 95.857 
252	Arg	 50.785 
253	Chi	 76.168 
254	Chi	 29.868 
255	Bra	 2.164 
256	Arg	 62.873 
257	Bra	 56.627 
258	Arg	 64.439 
259	Por	 84.753 
260	Por	 38.434 
261	Chi	 128.037 
262	Arg	 53.249 
263	Arg	 106.068 
264	Por	 101.928 
265	Bra	 94.512 
266	Por	 50.002 
267	Chi	 96.175 
268	Por	 35.514 
269	Bra	 16.160 
270	Por	 86.957 
271	Bra	 75.385 
272	Chi	 38.200 
273	Bra	 138.774 
274	Arg	 79.169 
275	Chi	 114.277 
276	Chi	 102.847 
277	Arg	 91.813 
278	Chi	 121.362 
279	Chi	 56.193 
280	Bra	 88.907 
281	Bra	 4.466 
282	Por	 91.042 
283	Bra	 7.405 
284	Bra	 62.536 
285	Chi	 117.784 
286	Bra	 78.758 
287	Bra	 108.960 
288	Chi	 115.057 
289	Bra	 127.922 
290	Por	 52.385 
291	Bra	 62.208 
292	Chi	 108.449 
293	Chi	 69.217 
294	Bra	 49.852 
295	Chi	 40.297 
296	Arg	 31.463 
297	Chi	 79.841 
298	Chi	 31.938 
299	Arg	 13.275 
300	Bra	 139.296 
301	Arg	 28.439 
302	Chi	 71.483 
303	Por	 21.490 
304	Arg	 137.565 
305	Por	 100.774 
306	Chi	 139.564 
307	Chi	 1.001 
308	Arg	 118.603 
309	Por	 112.968 
310	Bra	 29.063 
311	Arg	 106.353 
312	Chi	 46.001 
313	Arg	 9.287 
314	Por	 89.958 
315	Arg	 107.440 
316	Arg	 111.587 
317	Por	 77.818 
318	Por	 6.209 
319	Chi	 14.568 
320	Chi	 103.299 
321	Chi	 26.560 
322	Por	 74.679 
323	Chi	 97 
324	Por	 133.459 
325	Por	 5.879 
326	Por	 82.607 
327	Por	 24.009 
328	Arg	 52.357 
329	Chi	 1.571 
330	Chi	 58.135 
331	Bra	 13.755 
332	Arg	 36.628 
333	Por	 101.032 
334	Por	 83.785 
335	Arg	 31.167 
336	Bra	 70.901 
337	Por	 66.546 
338	Bra	 73.646 
339	Bra	 35.629 
340	Arg	 104.666 
341	Chi	 96.679 
342	Chi	 105.812 
343	Chi	 78.272 
344	Chi	 68.779 
345	Bra	 132.262 
346	Chi	 45.203 
347	Chi	 116.574 
348	Chi	 30.778 
349	Por	 119.519 
350	Bra	 2.871 
351	Bra	 119.399 
352	Chi	 132.378 
353	Bra	 54.421 
354	Arg	 16.765 
355	Chi	 78.482 
356	Por	 66.720 
357	Por	 60.093 
358	Arg	 98.774 
359	Por	 120.494 
360	Chi	 118.344 
361	Por	 67.028 
362	Arg	 135.823 
363	Arg	 77.485 
364	Bra	 84.684 
365	Bra	 39.840 
366	Bra	 63.957 
367	Bra	 21.890 
368	Bra	 101.986 
369	Chi	 114.954 
370	Arg	 24.599 
371	Bra	 38.629 
372	Por	 22.826 
373	Arg	 84.596 
374	Arg	 12.453 
375	Arg	 80.697 
376	Por	 120.530 
377	Arg	 32.476 
378	Chi	 100.861 
379	Bra	 18.290 
380	Chi	 114.041 
381	Chi	 102.287 
382	Bra	 107.634 
383	Arg	 112.888 
384	Arg	 121.040 
385	Bra	 118.439 
386	Arg	 126.684 
387	Chi	 115.222 
388	Chi	 27.841 
389	Por	 19.993 
390	Chi	 72.362 
391	Por	 88.702 
392	Por	 34.133 
393	Por	 4.896 
394	Chi	 53.398 
395	Arg	 64.534 
396	Chi	 136.472 
397	Bra	 112.116 
398	Arg	 11.556 
399	Por	 37.075 
400	Bra	 26.853 
401	Por	 55.717 
402	Por	 62.659 
403	Chi	 17.958 
404	Chi	 72.509 
405	Por	 75.505 
406	Bra	 130.462 
407	Arg	 122.937 
408	Arg	 4.555 
409	Arg	 48.789 
410	Bra	 105.165 
411	Bra	 121.078 
412	Arg	 51.678 
413	Chi	 105.498 
414	Arg	 79.538 
415	Por	 114.899 
416	Por	 68.814 
417	Chi	 108.793 
418	Arg	 88.435 
419	Arg	 129.501 
420	Chi	 80.654 
421	Bra	 54.242 
422	Chi	 79.592 
423	Bra	 40.234 
424	Arg	 132.463 
425	Arg	 44.328 
426	Chi	 135.984 
427	Arg	 75.488 
428	Por	 62.423 
429	Chi	 83.827 
430	Chi	 46.552 
431	Chi	 62.095 
432	Arg	 115.164 
433	Bra	 79.317 
434	Arg	 26.859 
435	Por	 15.963 
436	Por	 57.620 
437	Chi	 59.731 
438	Chi	 96.717 
439	Por	 107.013 
440	Bra	 137.234 
441	Bra	 75.022 
442	Chi	 113.005 
443	Chi	 70.084 
444	Chi	 106.554 
445	Chi	 50.990 
446	Por	 110.152 
447	Chi	 133.780 
448	Chi	 102.734 
449	Por	 115.974 
450	Bra	 80.586 
451	Bra	 89.594 
452	Por	 98.734 
453	Chi	 69.836 
454	Chi	 32.892 
455	Por	 24.820 
456	Por	 32.438 
457	Por	 98.463 
458	Por	 67.725 
459	Bra	 89.743 
460	Bra	 132.209 
461	Bra	 56.963 
462	Chi	 65.736 
463	Bra	 83.360 
464	Por	 47.704 
465	Chi	 116.322 
466	Bra	 41.347 
467	Bra	 40.140 
468	Chi	 65.871 
469	Chi	 62.324 
470	Chi	 1.340 
471	Por	 37.546 
472	Por	 84.576 
473	Chi	 37.724 
474	Por	 12.918 
475	Arg	 137.316 
476	Chi	 72.698 
477	Bra	 101.682 
478	Bra	 109.240 
479	Arg	 67.033 
480	Bra	 25.909 
481	Bra	 11.701 
482	Arg	 87.053 
483	Chi	 116.338 
484	Bra	 75.051 
485	Bra	 7.503 
486	Bra	 40.093 
487	Arg	 99.986 
488	Bra	 139.725 
489	Arg	 73.614 
490	Por	 60.894 
491	Arg	 139.528 
492	Por	 130.010 
493	Chi	 56.799 
494	Chi	 39.380 
495	Arg	 24.887 
496	Arg	 56.597 
497	Chi	 314 
498	Arg	 103.051 
499	Bra	 118.135 
500	Chi	 80.218 
501	Chi	 89.303 
502	Por	 37.059 
503	Chi	 415 
504	Por	 33.145 
505	Arg	 123.480 
506	Chi	 28.753 
507	Chi	 60.772 
508	Bra	 93.288 
509	Bra	 68.370 
510	Bra	 39.396 
511	Por	 106.364 
512	Por	 101.117 
513	Por	 115.289 
514	Chi	 30.169 
515	Chi	 76.485 
516	Arg	 28.775 
517	Chi	 16.612 
518	Arg	 68.115 
519	Arg	 22.695 
520	Bra	 56.872 
521	Bra	 129.325 
522	Bra	 68.747 
523	Arg	 69.859 
524	Chi	 66.006 
525	Por	 95.022 
526	Bra	 19.200 
527	Arg	 94.652 
528	Chi	 55.321 
529	Bra	 80.616 
530	Por	 89.960 
531	Chi	 69.263 
532	Chi	 6.534 
533	Arg	 132.426 
534	Arg	 442 
535	Arg	 95.583 
536	Arg	 83.953 
537	Por	 118.416 
538	Arg	 71.506 
539	Bra	 8.266 
540	Por	 8.578 
541	Chi	 107.868 
542	Arg	 66.853 
543	Por	 52.063 
544	Chi	 52.057 
545	Por	 66.554 
546	Por	 129.513 
547	Bra	 134.990 
548	Por	 49.667 
549	Bra	 89.298 
550	Chi	 16.737 
551	Bra	 88.026 
552	Por	 53.856 
553	Bra	 87.365 
554	Por	 107.132 
555	Chi	 105.578 
556	Chi	 56.550 
557	Bra	 83.023 
558	Bra	 18.622 
559	Arg	 16.957 
560	Por	 44.185 
561	Chi	 58.842 
562	Por	 129.627 
563	Bra	 377 
564	Arg	 10.613 
565	Arg	 73.501 
566	Chi	 106.884 
567	Chi	 84.752 
568	Arg	 41.709 
569	Por	 83.623 
570	Arg	 127.218 
571	Arg	 42.475 
572	Por	 109.097 
573	Chi	 10.085 
574	Por	 852 
575	Bra	 33 
576	Arg	 131.397 
577	Bra	 120.367 
578	Arg	 135.240 
579	Por	 55.618 
580	Arg	 56.785 
581	Por	 107.769 
582	Bra	 95.133 
583	Bra	 81.210 
584	Por	 58.070 
585	Bra	 29.852 
586	Chi	 116.543 
587	Arg	 106.484 
588	Arg	 14.463 
589	Bra	 57.026 
590	Por	 6.709 
591	Chi	 100.118 
592	Bra	 21.238 
593	Arg	 130.881 
594	Por	 122.054 
595	Arg	 65.071 
596	Arg	 88.964 
597	Arg	 78.402 
598	Por	 133.926 
599	Chi	 116.631 
600	Bra	 23.916 
601	Arg	 22.832 
602	Bra	 45.449 
603	Arg	 8.560 
604	Chi	 22.023 
605	Chi	 24.056 
606	Chi	 29.217 
607	Arg	 2.952 
608	Por	 113.660 
609	Chi	 106.606 
610	Chi	 18.278 
611	Por	 847 
612	Por	 81.241 
613	Por	 85.192 
614	Por	 15.045 
615	Por	 107.731 
616	Bra	 99.384 
617	Bra	 77.099 
618	Bra	 40.227 
619	Arg	 52.080 
620	Por	 124.673 
621	Arg	 35.566 
622	Por	 23.210 
623	Chi	 125.095 
624	Bra	 8.851 
625	Chi	 83.640 
626	Bra	 90.310 
627	Por	 67.986 
628	Por	 127.339 
629	Por	 66.096 
630	Por	 28.790 
631	Bra	 75.082 
632	Arg	 16.900 
633	Por	 24.027 
634	Por	 5.512 
635	Bra	 52.958 
636	Chi	 52.953 
637	Arg	 42.236 
638	Por	 96.502 
639	Por	 28.204 
640	Por	 122.222 
641	Chi	 87.232 
642	Bra	 96.990 
643	Chi	 25.918 
644	Por	 8.580 
645	Arg	 41.706 
646	Chi	 58.427 
647	Bra	 37.813 
648	Chi	 77.039 
649	Chi	 75.942 
650	Arg	 5.558 
651	Bra	 88.101 
652	Por	 74.336 
653	Bra	 76.648 
654	Por	 8.070 
655	Arg	 123.878 
656	Bra	 115.499 
657	Por	 34.525 
658	Arg	 44.290 
659	Arg	 76.548 
660	Por	 47.334 
661	Bra	 102.315 
662	Por	 122.881 
663	Arg	 12.485 
664	Por	 138.710 
665	Bra	 23.241 
666	Chi	 45.906 
667	Bra	 72.714 
668	Bra	 111.189 
669	Por	 18.064 
670	Chi	 16.394 
671	Chi	 22.468 
672	Bra	 54.020 
673	Arg	 53.467 
674	Bra	 139.261 
675	Chi	 112.505 
676	Por	 74.697 
677	Chi	 34.590 
678	Por	 27.548 
679	Bra	 94.950 
680	Por	 117.082 
681	Chi	 93.553 
682	Por	 51.660 
683	Arg	 43.724 
684	Arg	 118.045 
685	Bra	 93.267 
686	Chi	 26.525 
687	Por	 81.613 
688	Arg	 10.394 
689	Chi	 100.730 
690	Por	 83.724 
691	Chi	 43.229 
692	Por	 28.840 
693	Bra	 4.530 
694	Por	 94.377 
695	Arg	 37.143 
696	Por	 119.653 
697	Arg	 120.813 
698	Chi	 87.901 
699	Bra	 113.855 
700	Chi	 56.374 
701	Bra	 127.052 
702	Arg	 72.018 
703	Por	 57.743 
704	Arg	 120.660 
705	Por	 47.415 
706	Bra	 113.352 
707	Bra	 39.889 
708	Chi	 128.759 
709	Por	 39.519 
710	Chi	 79.867 
711	Arg	 19.427 
712	Arg	 56.213 
713	Chi	 56.110 
714	Por	 134.103 
715	Chi	 121.203 
716	Bra	 105.711 
717	Por	 45.055 
718	Arg	 87.027 
719	Bra	 88.539 
720	Por	 38.986 
721	Por	 37.784 
722	Chi	 132.071 
723	Por	 119.786 
724	Chi	 20.898 
725	Chi	 28.696 
726	Arg	 42.538 
727	Bra	 94.147 
728	Bra	 7.050 
729	Por	 117.012 
730	Arg	 97.609 
731	Arg	 131.592 
732	Bra	 134.712 
733	Bra	 75.158 
734	Chi	 92.179 
735	Arg	 89.736 
736	Arg	 44.416 
737	Por	 125.683 
738	Chi	 86.526 
739	Por	 69.392 
740	Por	 33.051 
741	Por	 124.270 
742	Bra	 36.808 
743	Chi	 36.539 
744	Chi	 104.883 
745	Chi	 44.702 
746	Por	 70.020 
747	Arg	 19.615 
748	Arg	 34.377 
749	Bra	 52.225 
750	Arg	 83.376 
751	Bra	 78.124 
752	Chi	 89.061 
753	Por	 131.837 
754	Por	 91.986 
755	Chi	 22.600 
756	Bra	 10.343 
757	Arg	 13.827 
758	Chi	 122.923 
759	Bra	 33.049 
760	Arg	 1.814 
761	Arg	 1.135 
762	Bra	 82.042 
763	Por	 119.960 
764	Arg	 6.168 
765	Bra	 67.861 
766	Por	 77.360 
767	Por	 57.614 
768	Por	 34.277 
769	Arg	 73.588 
770	Por	 66.564 
771	Arg	 64.417 
772	Por	 23.323 
773	Arg	 26.118 
774	Chi	 66.270 
775	Por	 60.923 
776	Por	 124.958 
777	Por	 73.596 
778	Arg	 22.851 
779	Por	 98.033 
780	Arg	 97.191 
781	Bra	 47.990 
782	Por	 84.242 
783	Bra	 116.361 
784	Bra	 76.784 
785	Bra	 3.302 
786	Arg	 111.431 
787	Bra	 63.151 
788	Chi	 112.861 
789	Bra	 126.632 
790	Arg	 20.177 
791	Arg	 129.836 
792	Bra	 10.446 
793	Arg	 68.486 
794	Bra	 38.556 
795	Por	 9.775 
796	Por	 77.589 
797	Bra	 131.112 
798	Por	 31.322 
799	Arg	 93.906 
800	Chi	 109.458 
801	Por	 23.012 
802	Chi	 6.967 
803	Chi	 3.952 
804	Chi	 133.849 
805	Bra	 33.612 
806	Por	 89.251 
807	Por	 80.866 
808	Por	 93.629 
809	Por	 37.480 
810	Bra	 109.903 
811	Bra	 25.619 
812	Bra	 105.978 
813	Chi	 136.674 
814	Por	 10.858 
815	Chi	 19.350 
816	Arg	 111.392 
817	Arg	 116.742 
818	Chi	 26.452 
819	Arg	 90.209 
820	Arg	 29.663 
821	Arg	 15.380 
822	Chi	 84.096 
823	Bra	 122.839 
824	Chi	 8.701 
825	Chi	 20.002 
826	Bra	 16.541 
827	Por	 34.323 
828	Por	 108.829 
829	Arg	 80.630 
830	Arg	 137.254 
831	Chi	 109.907 
832	Por	 35.760 
833	Chi	 103.909 
834	Arg	 85.764 
835	Por	 130.123 
836	Arg	 60.091 
837	Chi	 64.804 
838	Chi	 25.969 
839	Bra	 42.312 
840	Por	 40.228 
841	Arg	 14.142 
842	Chi	 59.148 
843	Arg	 50.583 
844	Bra	 29.410 
845	Arg	 19.951 
846	Bra	 58.553 
847	Chi	 68.337 
848	Arg	 24.158 
849	Por	 21.581 
850	Por	 129.056 
851	Por	 119.502 
852	Arg	 28.877 
853	Chi	 127.679 
854	Bra	 15.707 
855	Chi	 126.205 
856	Bra	 121.294 
857	Por	 132.941 
858	Por	 88.357 
859	Chi	 90.195 
860	Por	 113.116 
861	Chi	 35.961 
862	Arg	 65.051 
863	Arg	 88.624 
864	Bra	 32.749 
865	Chi	 101.675 
866	Bra	 5.855 
867	Bra	 84.834 
868	Por	 105.463 
869	Por	 99.644 
870	Bra	 11.869 
871	Arg	 41.496 
872	Chi	 113.516 
873	Bra	 103.815 
874	Por	 94.250 
875	Por	 18.055 
876	Bra	 31.953 
877	Chi	 99.756 
878	Arg	 94.605 
879	Bra	 33.397 
880	Arg	 80.354 
881	Arg	 16.907 
882	Por	 27.925 
883	Arg	 132.981 
884	Por	 4.389 
885	Chi	 42.179 
886	Chi	 37.311 
887	Arg	 78.096 
888	Arg	 125.649 
889	Por	 56.022 
890	Chi	 59.321 
891	Bra	 110.601 
892	Por	 46.617 
893	Chi	 67.944 
894	Por	 53.792 
895	Arg	 55.866 
896	Arg	 103.845 
897	Chi	 98.739 
898	Bra	 120.478 
899	Arg	 78.988 
900	Chi	 119.810 
901	Chi	 68.963 
902	Chi	 96.212 
903	Chi	 59.393 
904	Por	 78.954 
905	Por	 127.444 
906	Arg	 31.460 
907	Chi	 109.060 
908	Bra	 13.625 
909	Por	 98.956 
910	Bra	 132.675 
911	Bra	 21.538 
912	Chi	 113.355 
913	Bra	 7.051 
914	Bra	 78.134 
915	Bra	 134.152 
916	Por	 46.619 
917	Por	 51.409 
918	Arg	 72.250 
919	Arg	 84.591 
920	Chi	 113.575 
921	Arg	 727 
922	Arg	 57.055 
923	Por	 64.918 
924	Chi	 108.961 
925	Chi	 104.704 
926	Chi	 126.185 
927	Chi	 133.879 
928	Chi	 47.060 
929	Chi	 6.456 
930	Por	 19.969 
931	Por	 34.720 
932	Chi	 83.551 
933	Bra	 121.270 
934	Bra	 49.840 
935	Arg	 50.537 
936	Bra	 31.375 
937	Por	 38.549 
938	Chi	 20.450 
939	Por	 119.620 
940	Chi	 111.336 
941	Chi	 137.086 
942	Arg	 103.772 
943	Por	 73.215 
944	Arg	 8.793 
945	Bra	 103.540 
946	Bra	 51.055 
947	Por	 43.796 
948	Bra	 77.035 
949	Por	 46.299 
950	Por	 2.031 
951	Bra	 37.231 
952	Por	 63.461 
953	Chi	 26.311 
954	Bra	 31.161 
955	Por	 16.832 
956	Por	 51.454 
957	Chi	 16.269 
958	Chi	 78.827 
959	Arg	 129.916 
960	Chi	 120.127 
961	Por	 48.875 
962	Chi	 68.969 
963	Por	 61.877 
964	Por	 93.981 
965	Por	 59.385 
966	Arg	 111.482 
967	Por	 91.174 
968	Por	 70.025 
969	Por	 31.486 
970	Por	 20.777 
971	Chi	 98.130 
972	Bra	 1.067 
973	Bra	 103.962 
974	Chi	 56.243 
975	Bra	 19.941 
976	Chi	 118.845 
977	Bra	 18.265 
978	Bra	 10.014 
979	Chi	 52.649 
980	Bra	 120.943 
981	Bra	 127.170 
982	Chi	 48.424 
983	Arg	 389 
984	Por	 35.337 
985	Arg	 78.215 
986	Chi	 70.417 
987	Chi	 64.347 
988	Chi	 119.387 
989	Bra	 20.221 
990	Por	 2.858 
991	Por	 60.174 
992	Bra	 51.656 
993	Por	 39.503 
994	Chi	 98.266 
995	Bra	 62.481 
996	Bra	 99.958 
997	Arg	 108.393 
998	Por	 15.294 
999	Arg	 118.376 
1000	Chi	 20.355 
1001	Arg	 108.513 
1002	Por	 58.740 
1003	Por	 86.772 
1004	Por	 18.414 
1005	Arg	 120.796 
1006	Arg	 75.147 
1007	Arg	 18.322 
1008	Bra	 54.465 
1009	Por	 70.543 
1010	Arg	 92.919 
1011	Arg	 17.936 
1012	Arg	 17.951 
1013	Bra	 38.867 
1014	Arg	 131.343 
1015	Arg	 77.517 
1016	Chi	 43.476 
1017	Bra	 137.123 
1018	Chi	 65.897 
1019	Por	 99.345 
1020	Bra	 49.844 
1021	Bra	 61.311 
1022	Por	 82.177 
1023	Chi	 96.200 
1024	Bra	 128.802 
1025	Bra	 137.925 
1026	Arg	 131.736 
1027	Por	 4.631 
1028	Chi	 104.181 
1029	Por	 138.826 
1030	Por	 88.018 
1031	Chi	 5.448 
1032	Bra	 100.730 
1033	Arg	 117.536 
1034	Bra	 105.672 
1035	Bra	 88.916 
1036	Bra	 53.364 
1037	Por	 83.066 
1038	Bra	 108.433 
1039	Bra	 33.589 
1040	Chi	 44.071 
1041	Chi	 113.659 
1042	Arg	 30.990 
1043	Por	 127.857 
1044	Bra	 9.681 
1045	Bra	 68.573 
1046	Bra	 53.713 
1047	Bra	 33.484 
1048	Arg	 57.812 
1049	Bra	 7.351 
1050	Bra	 79.534 
1051	Por	 21.191 
1052	Bra	 113.840 
1053	Por	 50.161 
1054	Chi	 1.463 
1055	Bra	 33.881 
1056	Por	 104.912 
1057	Por	 127.155 
1058	Por	 125.016 
1059	Arg	 122.288 
1060	Por	 10.349 
1061	Bra	 63.470 
1062	Arg	 24.178 
1063	Chi	 63.852 
1064	Bra	 108.462 
1065	Chi	 96.993 
1066	Bra	 72.983 
1067	Arg	 89.795 
1068	Bra	 79.656 
1069	Chi	 118.686 
1070	Por	 99.580 
1071	Chi	 26.995 
1072	Bra	 95.964 
1073	Chi	 98.899 
1074	Arg	 117.185 
1075	Chi	 56.788 
1076	Chi	 74.326 
1077	Chi	 77.154 
1078	Chi	 79.656 
1079	Por	 22.761 
1080	Por	 77.985 
1081	Arg	 77.160 
1082	Chi	 106.193 
1083	Chi	 29.567 
1084	Bra	 45.067 
1085	Arg	 132.059 
1086	Por	 82.894 
1087	Bra	 91.610 
1088	Chi	 51.946 
1089	Chi	 132.730 
1090	Arg	 60.043 
