,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
67,59.0,management,,tertiary,no,59.0,yes,no,,5.0,may,273.0,1.0,-1.0,0.0,,no
68,55.0,technician,married,secondary,no,1205.0,yes,no,,5.0,may,158.0,2.0,-1.0,0.0,,no
69,,blue-collar,single,secondary,no,12223.0,yes,yes,,5.0,may,,1.0,-1.0,0.0,,no
70,57.0,blue-collar,,secondary,no,5935.0,yes,yes,,5.0,may,258.0,1.0,-1.0,0.0,,no
71,31.0,services,,secondary,no,,yes,yes,,5.0,may,172.0,1.0,-1.0,0.0,,no
72,54.0,management,married,secondary,no,,yes,yes,,5.0,may,154.0,1.0,-1.0,0.0,,no
73,55.0,blue-collar,,primary,no,23.0,yes,no,,5.0,may,291.0,1.0,,0.0,,no
74,43.0,technician,married,secondary,no,1937.0,yes,no,,5.0,may,181.0,1.0,-1.0,0.0,,no
75,53.0,technician,married,secondary,no,384.0,yes,no,,5.0,may,176.0,1.0,-1.0,0.0,,no
76,,blue-collar,,secondary,no,,no,yes,,5.0,may,,1.0,-1.0,0.0,,no
77,55.0,services,,secondary,no,91.0,no,no,,5.0,may,,1.0,-1.0,0.0,,no
78,49.0,services,divorced,secondary,no,,yes,yes,,5.0,may,,1.0,-1.0,0.0,,no
79,55.0,services,,secondary,yes,1.0,yes,no,,5.0,may,,1.0,-1.0,0.0,,no
80,45.0,admin.,single,secondary,no,,yes,no,,5.0,may,193.0,1.0,-1.0,0.0,,no
81,47.0,services,divorced,secondary,no,,no,no,,5.0,may,212.0,1.0,-1.0,,,no
82,42.0,technician,,secondary,no,690.0,yes,no,,5.0,may,20.0,1.0,-1.0,0.0,,no
83,,admin.,,secondary,no,,yes,no,,5.0,may,1042.0,1.0,,0.0,,yes
84,,self-employed,,tertiary,no,,yes,yes,,5.0,may,,1.0,,0.0,,no
85,,blue-collar,married,primary,no,173.0,yes,no,,5.0,may,,2.0,,,,no
86,56.0,admin.,married,secondary,no,45.0,no,no,,5.0,may,,1.0,,0.0,,yes
87,,technician,,secondary,no,,yes,no,,5.0,may,,1.0,-1.0,,,yes
88,46.0,management,divorced,secondary,no,16.0,yes,yes,,5.0,may,188.0,2.0,-1.0,0.0,,no
89,57.0,retired,,secondary,no,,yes,no,,5.0,may,,2.0,-1.0,0.0,,no
90,,management,single,secondary,no,50.0,no,no,,5.0,may,,1.0,-1.0,0.0,,no
91,,technician,,secondary,no,152.0,yes,yes,,5.0,may,213.0,2.0,-1.0,0.0,,no
92,60.0,admin.,married,secondary,no,,yes,no,,5.0,may,,1.0,-1.0,0.0,,no
93,,blue-collar,married,,no,54.0,yes,no,,5.0,may,221.0,1.0,-1.0,0.0,,no
94,57.0,entrepreneur,,secondary,no,,no,no,,5.0,may,,1.0,,0.0,,no
95,,management,married,tertiary,no,,yes,yes,,5.0,may,426.0,1.0,,,,no
96,,blue-collar,married,secondary,no,383.0,no,no,,5.0,may,287.0,1.0,-1.0,0.0,,no
97,60.0,retired,married,tertiary,no,,yes,no,,5.0,may,,1.0,-1.0,0.0,,no
98,39.0,technician,,secondary,no,0.0,yes,no,,5.0,may,,1.0,-1.0,0.0,,no
99,46.0,management,married,tertiary,no,,yes,no,,5.0,may,,1.0,,0.0,,no
100,44.0,blue-collar,,secondary,no,-674.0,yes,no,,5.0,may,,1.0,-1.0,0.0,,no
101,53.0,blue-collar,,primary,no,90.0,no,no,,5.0,may,124.0,1.0,-1.0,0.0,,no
102,52.0,blue-collar,married,primary,no,128.0,yes,no,,5.0,may,,1.0,-1.0,0.0,,no
103,,blue-collar,,primary,no,179.0,yes,no,,5.0,may,,3.0,-1.0,0.0,,no
104,,technician,single,tertiary,no,0.0,yes,no,,5.0,may,400.0,1.0,-1.0,,,no
105,,blue-collar,,secondary,no,,yes,no,,5.0,may,197.0,1.0,-1.0,0.0,,no
106,47.0,technician,married,tertiary,no,,yes,no,,5.0,may,190.0,1.0,-1.0,0.0,,no
107,34.0,admin.,,secondary,no,61.0,no,yes,,5.0,may,,1.0,-1.0,0.0,,no
108,59.0,retired,,secondary,no,30.0,yes,no,,5.0,may,,1.0,-1.0,0.0,,no
109,45.0,management,married,tertiary,no,,yes,no,,5.0,may,,2.0,-1.0,0.0,,no
110,29.0,services,divorced,secondary,no,31.0,yes,no,,5.0,may,,1.0,-1.0,0.0,,no
111,46.0,technician,divorced,secondary,no,,no,no,,5.0,may,,1.0,-1.0,0.0,,no
112,,self-employed,married,primary,no,,yes,yes,,5.0,may,,2.0,-1.0,0.0,,no
113,,blue-collar,,primary,no,,yes,no,,5.0,may,286.0,1.0,-1.0,0.0,,no
114,59.0,retired,,primary,no,81.0,yes,no,,5.0,may,107.0,1.0,-1.0,0.0,,no
115,,blue-collar,married,secondary,no,144.0,yes,no,,5.0,may,,2.0,,,,no
116,41.0,admin.,married,secondary,no,351.0,yes,no,,5.0,may,,1.0,-1.0,0.0,,no
117,33.0,management,,tertiary,no,-67.0,yes,no,,5.0,may,,1.0,-1.0,0.0,,no
118,59.0,management,divorced,tertiary,no,262.0,no,no,,5.0,may,,1.0,-1.0,0.0,,no
119,57.0,technician,married,primary,no,0.0,no,no,,5.0,may,98.0,1.0,-1.0,0.0,,no
120,,technician,,,no,56.0,yes,no,,5.0,may,439.0,1.0,-1.0,0.0,,no
121,,blue-collar,,secondary,no,,yes,no,,5.0,may,,1.0,-1.0,0.0,,no
122,,admin.,,,no,3.0,yes,no,,5.0,may,,3.0,-1.0,0.0,,no
123,43.0,services,,secondary,no,41.0,yes,yes,,5.0,may,127.0,2.0,-1.0,0.0,,no
124,52.0,technician,,tertiary,no,7.0,no,yes,,5.0,may,175.0,1.0,-1.0,0.0,,no
125,33.0,technician,single,secondary,no,105.0,yes,no,,5.0,may,262.0,2.0,-1.0,0.0,,no
126,29.0,admin.,,secondary,no,818.0,yes,yes,,5.0,may,,1.0,-1.0,0.0,,no
127,34.0,services,married,secondary,no,,yes,yes,,5.0,may,,1.0,-1.0,0.0,,no
128,31.0,blue-collar,,secondary,no,0.0,yes,no,,5.0,may,143.0,1.0,-1.0,0.0,,no
129,,services,married,secondary,no,2476.0,yes,no,,5.0,may,,1.0,-1.0,0.0,,yes
130,55.0,management,,,no,1185.0,no,no,,5.0,may,,1.0,-1.0,,,no
131,32.0,admin.,single,secondary,no,,yes,no,,5.0,may,345.0,1.0,-1.0,0.0,,no
132,38.0,technician,single,secondary,no,1685.0,yes,no,,5.0,may,185.0,1.0,-1.0,0.0,,no
133,,admin.,,secondary,no,802.0,yes,yes,,5.0,may,,2.0,-1.0,0.0,,no
134,,unemployed,single,tertiary,no,0.0,yes,no,,5.0,may,125.0,2.0,-1.0,0.0,,no
135,23.0,blue-collar,married,secondary,no,,yes,no,,5.0,may,193.0,1.0,-1.0,0.0,,no
136,,technician,,secondary,no,0.0,yes,no,,5.0,may,136.0,1.0,-1.0,0.0,,no
137,43.0,services,single,,no,,no,no,,5.0,may,73.0,1.0,-1.0,0.0,,no
138,,blue-collar,married,secondary,no,517.0,yes,no,,5.0,may,,1.0,-1.0,0.0,,no
139,46.0,blue-collar,married,secondary,no,265.0,yes,no,,5.0,may,,1.0,-1.0,0.0,,no
140,53.0,housemaid,divorced,primary,no,947.0,yes,no,,5.0,may,,1.0,-1.0,0.0,,no
141,34.0,self-employed,,secondary,no,3.0,yes,no,,5.0,may,,1.0,-1.0,0.0,,no
142,57.0,unemployed,,tertiary,no,,no,no,,5.0,may,46.0,1.0,-1.0,0.0,,no
143,37.0,blue-collar,married,secondary,no,37.0,yes,no,,5.0,may,,1.0,-1.0,0.0,,no
144,59.0,blue-collar,,secondary,no,57.0,yes,no,,5.0,may,98.0,1.0,-1.0,0.0,,no
145,33.0,services,,secondary,no,,yes,no,,5.0,may,71.0,1.0,-1.0,,,no
146,56.0,blue-collar,,primary,no,8.0,yes,no,,5.0,may,157.0,2.0,-1.0,0.0,,no
147,48.0,unemployed,married,secondary,no,,yes,no,,5.0,may,,1.0,-1.0,0.0,,no
148,43.0,services,married,primary,no,3.0,yes,no,,5.0,may,,2.0,-1.0,0.0,,no
149,,blue-collar,,primary,no,,yes,no,,5.0,may,579.0,2.0,-1.0,0.0,,no
150,,blue-collar,married,,no,-19.0,yes,no,,5.0,may,,2.0,-1.0,0.0,,no
151,,student,single,secondary,no,0.0,yes,no,,5.0,may,610.0,2.0,-1.0,0.0,,no
152,,management,,tertiary,no,-4.0,yes,no,,5.0,may,2033.0,1.0,,0.0,,no
153,39.0,management,married,secondary,no,18.0,yes,no,,5.0,may,85.0,1.0,-1.0,0.0,,no
154,50.0,technician,married,primary,no,139.0,no,no,,5.0,may,114.0,2.0,-1.0,0.0,,no
155,41.0,services,married,secondary,no,0.0,yes,no,,5.0,may,114.0,2.0,-1.0,0.0,,no
156,51.0,blue-collar,married,,no,1883.0,yes,no,,5.0,may,57.0,1.0,-1.0,,,no
157,60.0,retired,,secondary,no,216.0,yes,no,,5.0,may,238.0,1.0,-1.0,0.0,,no
158,,blue-collar,married,secondary,no,,yes,no,,5.0,may,93.0,3.0,-1.0,0.0,,no
159,48.0,blue-collar,married,secondary,no,,yes,no,,5.0,may,128.0,2.0,-1.0,0.0,,no
160,48.0,services,married,,no,1705.0,yes,no,,5.0,may,,1.0,-1.0,,,no
161,39.0,technician,,tertiary,no,47.0,yes,no,,5.0,may,181.0,1.0,-1.0,,,no
162,47.0,services,single,secondary,no,176.0,yes,no,,5.0,may,,2.0,-1.0,0.0,,no
163,40.0,blue-collar,,secondary,no,1225.0,yes,no,,5.0,may,558.0,5.0,-1.0,,,no
164,,technician,married,secondary,no,86.0,yes,no,,5.0,may,270.0,1.0,-1.0,0.0,,no
165,,admin.,single,secondary,no,,yes,no,,5.0,may,,1.0,-1.0,0.0,,no
166,,management,,tertiary,no,271.0,yes,no,,5.0,may,99.0,1.0,-1.0,,,no
167,,technician,married,secondary,no,1378.0,yes,no,,5.0,may,,1.0,-1.0,,,no
168,54.0,admin.,married,tertiary,no,184.0,no,no,,5.0,may,673.0,2.0,-1.0,0.0,,yes
169,50.0,blue-collar,,primary,no,0.0,no,no,,5.0,may,,3.0,-1.0,0.0,,no
170,35.0,blue-collar,married,secondary,no,0.0,yes,no,,5.0,may,1056.0,1.0,-1.0,0.0,,no
171,44.0,services,,secondary,no,1357.0,yes,yes,,5.0,may,250.0,1.0,,0.0,,no
172,,entrepreneur,,,no,19.0,yes,no,,5.0,may,,1.0,-1.0,0.0,,no
173,35.0,retired,single,primary,no,434.0,no,no,,5.0,may,138.0,1.0,-1.0,,,no
174,60.0,admin.,,secondary,no,92.0,yes,no,,5.0,may,130.0,1.0,,0.0,,no
175,53.0,admin.,,secondary,no,1151.0,yes,no,,5.0,may,412.0,1.0,,0.0,,no
176,48.0,unemployed,married,secondary,no,41.0,yes,no,,5.0,may,179.0,2.0,-1.0,0.0,,no
177,,technician,married,secondary,no,,yes,no,,5.0,may,19.0,2.0,-1.0,0.0,,no
178,,services,,secondary,no,,yes,no,,5.0,may,458.0,2.0,-1.0,,,no
179,51.0,management,married,secondary,no,,yes,no,,5.0,may,,1.0,,0.0,,no
180,31.0,services,,tertiary,no,37.0,yes,no,,5.0,may,,1.0,,0.0,,no
181,,technician,,secondary,no,787.0,yes,no,,5.0,may,683.0,2.0,-1.0,0.0,,no
182,35.0,services,married,secondary,no,,yes,no,,5.0,may,1077.0,1.0,-1.0,0.0,,no
183,38.0,technician,,secondary,no,253.0,yes,no,,5.0,may,,1.0,-1.0,0.0,,no
184,,admin.,,tertiary,no,,yes,no,,5.0,may,146.0,2.0,,,,no
185,58.0,retired,married,primary,no,,yes,no,,5.0,may,167.0,1.0,-1.0,0.0,,no
186,,services,divorced,,no,,yes,no,,5.0,may,315.0,1.0,-1.0,0.0,,no
187,54.0,management,,secondary,no,,no,no,,5.0,may,140.0,1.0,-1.0,0.0,,no
188,,blue-collar,,secondary,no,53.0,yes,yes,,5.0,may,346.0,1.0,-1.0,0.0,,no
189,,management,,tertiary,no,,yes,no,,5.0,may,562.0,1.0,-1.0,0.0,,no
190,51.0,retired,married,secondary,no,2127.0,yes,no,,5.0,may,,1.0,-1.0,0.0,,no
191,33.0,management,,tertiary,no,,yes,no,,5.0,may,217.0,1.0,-1.0,0.0,,no
192,,management,,tertiary,no,,yes,no,,5.0,may,142.0,2.0,-1.0,0.0,,no
193,42.0,admin.,,secondary,no,445.0,yes,no,,5.0,may,67.0,1.0,-1.0,,,no
194,34.0,blue-collar,married,secondary,no,243.0,yes,no,,5.0,may,,1.0,-1.0,0.0,,no
195,,blue-collar,single,secondary,no,,yes,no,,5.0,may,,2.0,-1.0,0.0,,no
196,,services,,secondary,no,,yes,no,,5.0,may,248.0,1.0,,0.0,,no
197,50.0,technician,,tertiary,no,,no,yes,,5.0,may,,1.0,-1.0,0.0,,no
198,43.0,management,married,tertiary,no,400.0,yes,no,,5.0,may,256.0,1.0,,0.0,,no
199,61.0,blue-collar,divorced,primary,no,1428.0,yes,no,,5.0,may,82.0,2.0,-1.0,0.0,,no
200,,admin.,married,secondary,no,219.0,yes,no,,5.0,may,,1.0,,0.0,,no
201,48.0,self-employed,,tertiary,no,7.0,yes,no,,5.0,may,,1.0,-1.0,0.0,,no
202,44.0,blue-collar,married,secondary,no,,yes,no,,5.0,may,,1.0,,0.0,,no
203,,student,single,,no,,yes,no,,5.0,may,,2.0,-1.0,0.0,,no
204,35.0,services,,secondary,no,,yes,no,,5.0,may,,1.0,-1.0,0.0,,no
205,50.0,services,,secondary,no,,yes,no,,5.0,may,381.0,2.0,-1.0,0.0,,no
206,41.0,management,,tertiary,no,,yes,yes,,5.0,may,42.0,1.0,,0.0,,no
207,41.0,management,married,tertiary,no,,yes,no,,5.0,may,251.0,1.0,-1.0,0.0,,no
208,39.0,services,single,,no,257.0,yes,no,,5.0,may,,1.0,-1.0,0.0,,no
209,42.0,retired,married,secondary,no,56.0,yes,no,,5.0,may,,1.0,-1.0,0.0,,no
210,,blue-collar,,secondary,no,,yes,no,,5.0,may,287.0,1.0,-1.0,,,no
211,53.0,retired,,secondary,no,,yes,no,,5.0,may,,2.0,,0.0,,no
212,59.0,housemaid,,primary,no,195.0,no,no,,5.0,may,,2.0,-1.0,0.0,,no
213,,services,,secondary,no,301.0,yes,no,,5.0,may,210.0,1.0,,0.0,,no
214,54.0,blue-collar,married,primary,no,,yes,no,,5.0,may,288.0,1.0,-1.0,0.0,,no
215,40.0,technician,married,tertiary,no,483.0,yes,no,,5.0,may,,1.0,-1.0,0.0,,no
216,47.0,,,,no,,no,no,,5.0,may,338.0,2.0,-1.0,0.0,,no
217,,unemployed,married,,no,13.0,no,no,,5.0,may,,3.0,-1.0,0.0,,no
218,46.0,housemaid,,primary,no,,no,no,,5.0,may,177.0,1.0,,0.0,,no
219,,management,married,tertiary,no,,yes,yes,,5.0,may,127.0,2.0,-1.0,0.0,,no
220,40.0,unemployed,married,secondary,no,,yes,no,,5.0,may,357.0,1.0,-1.0,0.0,,no
221,,blue-collar,,primary,no,324.0,yes,no,,5.0,may,175.0,1.0,-1.0,0.0,,no
222,35.0,entrepreneur,,secondary,no,-69.0,yes,no,,5.0,may,300.0,1.0,-1.0,0.0,,no
223,,retired,married,secondary,no,0.0,no,yes,,5.0,may,136.0,1.0,-1.0,,,no
224,43.0,technician,divorced,,no,205.0,yes,no,,5.0,may,1419.0,1.0,-1.0,,,no
225,,blue-collar,,primary,no,,yes,no,,5.0,may,125.0,2.0,-1.0,,,no
226,58.0,management,,,no,1065.0,yes,no,,5.0,may,213.0,3.0,-1.0,0.0,,no
227,33.0,management,single,tertiary,no,34.0,yes,no,,5.0,may,,1.0,-1.0,0.0,,no
228,36.0,blue-collar,,,no,,no,no,,5.0,may,238.0,2.0,-1.0,0.0,,no
229,53.0,services,,secondary,no,1467.0,yes,no,,5.0,may,124.0,1.0,-1.0,0.0,,no
230,47.0,blue-collar,married,primary,no,-12.0,yes,no,,5.0,may,18.0,1.0,-1.0,0.0,,no
231,,services,,secondary,no,,yes,no,,5.0,may,,2.0,-1.0,0.0,,no
232,,entrepreneur,married,secondary,no,,yes,no,,5.0,may,,2.0,,0.0,,no
233,,blue-collar,married,,no,1827.0,no,no,,5.0,may,,1.0,-1.0,0.0,,no
234,55.0,blue-collar,,primary,no,627.0,yes,no,,5.0,may,,1.0,,0.0,,no
235,45.0,blue-collar,married,primary,no,,yes,no,,5.0,may,40.0,1.0,-1.0,0.0,,no
236,53.0,admin.,,secondary,no,315.0,yes,no,,5.0,may,181.0,2.0,,0.0,,no
237,,blue-collar,,primary,no,0.0,yes,no,,5.0,may,79.0,1.0,-1.0,0.0,,no
238,44.0,admin.,,secondary,no,66.0,yes,no,,5.0,may,,1.0,-1.0,0.0,,no
239,,blue-collar,divorced,primary,no,-9.0,yes,yes,,5.0,may,389.0,1.0,-1.0,0.0,,no
240,,technician,,secondary,no,349.0,yes,yes,,5.0,may,127.0,1.0,-1.0,,,no
241,,entrepreneur,married,,no,100.0,yes,no,,5.0,may,702.0,1.0,-1.0,0.0,,no
242,38.0,admin.,,secondary,no,,no,no,,5.0,may,151.0,1.0,-1.0,0.0,,no
243,43.0,technician,,secondary,no,434.0,yes,no,,5.0,may,,1.0,,0.0,,no
244,,management,,tertiary,no,,yes,no,,5.0,may,232.0,3.0,-1.0,0.0,,no
245,42.0,management,,,no,,no,no,,5.0,may,408.0,2.0,-1.0,0.0,,no
246,,blue-collar,single,secondary,no,0.0,yes,no,,5.0,may,179.0,2.0,-1.0,0.0,,no
247,,management,,tertiary,no,207.0,yes,no,,5.0,may,39.0,1.0,-1.0,0.0,,no
248,39.0,blue-collar,married,secondary,no,483.0,yes,no,,5.0,may,,1.0,-1.0,0.0,,no
249,51.0,services,,secondary,no,2248.0,yes,no,,5.0,may,714.0,2.0,-1.0,,,no
250,49.0,admin.,,secondary,no,,yes,no,,5.0,may,,1.0,-1.0,,,no
251,53.0,blue-collar,married,secondary,no,,yes,yes,,5.0,may,,1.0,,0.0,,no
252,34.0,services,single,secondary,no,0.0,yes,no,,5.0,may,142.0,1.0,-1.0,0.0,,no
253,33.0,technician,,secondary,no,140.0,yes,no,,5.0,may,227.0,1.0,-1.0,0.0,,no
254,,management,single,tertiary,no,297.0,yes,no,,5.0,may,,1.0,-1.0,0.0,,no
255,39.0,blue-collar,,primary,no,,yes,no,,5.0,may,,1.0,-1.0,0.0,,no
256,,entrepreneur,divorced,secondary,no,901.0,yes,no,,5.0,may,,3.0,,0.0,,no
257,30.0,technician,,secondary,no,2573.0,yes,no,,5.0,may,,2.0,,,,no
258,,services,,secondary,no,143.0,yes,yes,,5.0,may,350.0,1.0,,0.0,,no
259,,blue-collar,,secondary,no,475.0,yes,no,,5.0,may,332.0,2.0,-1.0,0.0,,no
260,53.0,blue-collar,,secondary,no,70.0,yes,no,,5.0,may,611.0,2.0,,0.0,,no
261,34.0,management,,tertiary,no,318.0,yes,no,,5.0,may,113.0,2.0,-1.0,0.0,,no
262,37.0,technician,married,secondary,no,275.0,yes,no,,5.0,may,132.0,1.0,-1.0,,,no
263,42.0,management,,tertiary,no,742.0,yes,no,,5.0,may,58.0,3.0,-1.0,0.0,,no
264,41.0,entrepreneur,,primary,no,236.0,yes,no,,5.0,may,,1.0,-1.0,0.0,,no
265,30.0,student,,tertiary,no,25.0,yes,no,,5.0,may,89.0,2.0,-1.0,0.0,,no
266,,management,single,tertiary,no,,yes,no,,5.0,may,,1.0,-1.0,0.0,,no
267,,admin.,,secondary,no,,yes,no,,5.0,may,,2.0,-1.0,0.0,,no
268,,blue-collar,,primary,no,,yes,yes,,5.0,may,110.0,2.0,-1.0,0.0,,no
269,40.0,blue-collar,,primary,no,0.0,yes,no,,5.0,may,,1.0,-1.0,0.0,,no
270,,management,single,tertiary,no,0.0,yes,yes,,5.0,may,562.0,2.0,,0.0,,yes
271,40.0,blue-collar,divorced,primary,no,,yes,no,,5.0,may,962.0,1.0,-1.0,,,no
272,57.0,technician,,secondary,no,1078.0,yes,no,,5.0,may,10.0,4.0,-1.0,0.0,,no
273,56.0,entrepreneur,divorced,secondary,no,155.0,no,no,,5.0,may,118.0,3.0,-1.0,0.0,,no
274,37.0,admin.,,secondary,no,190.0,yes,no,,5.0,may,92.0,2.0,-1.0,,,no
275,59.0,retired,married,secondary,no,319.0,yes,no,,5.0,may,143.0,3.0,-1.0,0.0,,no
276,39.0,services,divorced,secondary,no,-185.0,yes,no,,5.0,may,189.0,3.0,-1.0,0.0,,no
277,49.0,services,married,secondary,no,,no,no,,5.0,may,,2.0,,,,no
278,,services,single,secondary,no,570.0,yes,no,,5.0,may,75.0,2.0,-1.0,0.0,,no
279,36.0,self-employed,married,tertiary,no,19.0,no,no,,5.0,may,,2.0,-1.0,0.0,,no
280,50.0,blue-collar,married,primary,no,61.0,yes,no,,5.0,may,,3.0,,0.0,,no
281,,admin.,,secondary,no,-62.0,yes,yes,,5.0,may,,2.0,-1.0,0.0,,no
282,,technician,married,tertiary,no,258.0,no,no,,5.0,may,,4.0,-1.0,,,no
