regiao,tipo_imovel,area_m2,quartos,vagas_garagem,idade_imovel_anos,distancia_centro_km,preco_reais,faixa_preco
Leste,Apartamento,178.1,2.0,0,20.0,2.46,586624.0,Médio
Sul,Apartamento,183.2,2.0,1,12.0,10.84,670396.0,Alto
Leste,Casa,99.1,2.0,2,26.0,10.04,320830.0,Médio
Leste,Casa,103.2,2.0,1,,9.0,,
Norte,Sobrado,108.7,2.0,0,6.0,0.5,340893.0,Médio
Oeste,Casa,66.2,4.0,0,21.0,13.05,199164.0,Econômico
Oeste,Sobrado,83.3,3.0,3,9.0,3.91,370654.0,Médio
Oeste,Casa,79.8,3.0,1,38.0,10.94,210888.0,Econômico
Oeste,Casa,89.3,2.0,1,14.0,8.13,300620.0,Médio
Leste,Sobrado,118.6,4.0,2,14.0,4.2,486750.0,Médio
Oeste,Casa,129.4,3.0,2,3.0,1.45,542010.0,Médio
Norte,Apartamento,182.0,1.0,1,31.0,0.99,552251.0,Médio
Norte,Apartamento,80.1,3.0,2,22.0,17.81,218587.0,Econômico
Norte,Sobrado,159.4,3.0,2,5.0,25.06,476217.0,Médio
Sul,Casa,111.4,1.0,2,23.0,10.49,398038.0,Médio
Sul,Casa,118.0,3.0,0,19.0,1.09,466080.0,Médio
Sul,Apartamento,147.0,3.0,2,36.0,5.14,548759.0,Médio
Oeste,Apartamento,75.1,2.0,1,19.0,13.05,233382.0,Econômico
Sul,Apartamento,135.3,4.0,1,11.0,15.13,504197.0,Médio
Sul,Apartamento,126.7,4.0,1,32.0,1.26,480622.0,Médio
Leste,Casa,139.7,3.0,0,27.0,0.5,469573.0,Médio
Norte,Apartamento,131.6,3.0,0,7.0,12.45,402794.0,Médio
Oeste,Casa,218.2,3.0,2,0.0,4.41,851277.0,Alto
Norte,Sobrado,94.5,3.0,0,36.0,2.94,271095.0,Econômico
,Apartamento,98.8,3.0,1,21.0,0.5,349150.0,Médio
Oeste,Casa,95.1,1.0,1,5.0,7.77,368605.0,Médio
Norte,Sobrado,97.8,3.0,0,20.0,19.05,227288.0,Econômico
Norte,Apartamento,94.5,,3,31.0,31.61,,
Oeste,Casa,167.6,3.0,1,34.0,8.34,538722.0,Médio
Leste,Sobrado,176.8,1.0,1,14.0,7.22,600413.0,Alto
Leste,Sobrado,97.2,4.0,1,4.0,0.89,424440.0,Médio
Oeste,Apartamento,86.7,2.0,1,5.0,7.96,328034.0,Médio
Norte,Sobrado,138.9,2.0,0,24.0,4.78,435245.0,Médio
Sul,Casa,97.9,2.0,2,39.0,9.34,355418.0,Médio
Norte,Apartamento,145.3,2.0,3,,4.92,,
Oeste,Casa,128.1,4.0,1,6.0,2.75,491233.0,Médio
Leste,,59.4,3.0,2,39.0,1.0,216459.0,Econômico
Sul,Casa,181.9,2.0,2,12.0,3.78,732402.0,Alto
Norte,Apartamento,191.8,4.0,2,37.0,1.02,657886.0,Alto
Sul,Casa,95.5,4.0,1,17.0,1.95,441779.0,Médio
Sul,Apartamento,104.5,4.0,1,1.0,43.69,304324.0,Médio
Leste,Apartamento,131.4,2.0,1,7.0,5.87,448336.0,Médio
Leste,Apartamento,133.4,3.0,2,10.0,7.59,477135.0,Médio
Oeste,Apartamento,146.3,5.0,2,32.0,20.68,456966.0,Médio
Sul,Apartamento,200.4,4.0,0,37.0,50.0,493581.0,Médio
Norte,Apartamento,112.9,,1,26.0,8.74,,
Leste,Casa,88.1,1.0,3,,16.74,,
Oeste,Apartamento,64.8,3.0,2,11.0,3.96,278581.0,Econômico
Leste,Apartamento,90.8,4.0,3,30.0,3.65,360213.0,Médio
Oeste,Sobrado,118.7,3.0,2,26.0,5.15,393877.0,Médio
Sul,Casa,191.8,3.0,1,31.0,11.16,642107.0,Alto
Leste,Casa,99.3,2.0,1,9.0,11.46,327839.0,Médio
Sul,Apartamento,129.0,3.0,2,2.0,3.79,520744.0,Médio
Norte,Apartamento,119.3,4.0,0,26.0,1.43,408806.0,Médio
Norte,Apartamento,167.5,2.0,1,34.0,10.01,485174.0,Médio
Norte,Apartamento,221.1,4.0,2,30.0,1.37,841765.0,Alto
Leste,Apartamento,98.8,5.0,0,14.0,8.64,395641.0,Médio
Sul,Apartamento,100.4,2.0,2,15.0,11.82,378735.0,Médio
Leste,Apartamento,161.8,3.0,1,12.0,12.06,544755.0,Médio
Oeste,Apartamento,147.3,2.0,3,34.0,14.0,487362.0,Médio
Norte,Casa,193.9,4.0,0,10.0,20.62,619479.0,Alto
Sul,Apartamento,143.4,3.0,1,20.0,6.93,509336.0,Médio
Oeste,Apartamento,105.6,3.0,2,10.0,13.1,333459.0,Médio
Norte,Casa,143.6,4.0,1,29.0,9.65,433981.0,Médio
Norte,Casa,164.3,2.0,2,34.0,2.07,548544.0,Médio
Sul,Apartamento,152.8,4.0,2,21.0,0.5,650305.0,Alto
Norte,Sobrado,140.3,3.0,0,37.0,3.35,436672.0,Médio
Oeste,Casa,162.7,2.0,1,30.0,5.85,506078.0,Médio
Oeste,Apartamento,166.8,3.0,1,13.0,9.6,528379.0,Médio
Leste,Sobrado,175.3,4.0,1,23.0,18.97,,
Oeste,Sobrado,145.9,2.0,3,31.0,2.18,511332.0,Médio
Oeste,Apartamento,113.3,4.0,2,35.0,1.34,379526.0,Médio
Norte,Apartamento,125.9,4.0,2,31.0,33.1,285947.0,Econômico
Oeste,Sobrado,168.3,2.0,2,14.0,1.14,641058.0,Alto
Leste,Casa,87.3,5.0,1,34.0,6.51,297636.0,Econômico
Oeste,Apartamento,134.7,2.0,3,2.0,8.81,504415.0,Médio
Oeste,Apartamento,104.3,2.0,2,15.0,7.8,362769.0,Médio
Sul,Apartamento,121.1,2.0,2,4.0,0.9,524115.0,Médio
Norte,Casa,171.1,4.0,2,20.0,0.59,599086.0,Médio
Norte,Casa,127.6,3.0,1,9.0,1.11,443887.0,Médio
Sul,Apartamento,121.9,2.0,2,18.0,8.81,476882.0,Médio
Oeste,Casa,65.6,3.0,0,24.0,7.86,193753.0,Econômico
Oeste,Casa,149.9,3.0,1,3.0,2.66,573525.0,Médio
Norte,Apartamento,145.8,1.0,1,28.0,10.15,388690.0,Médio
Leste,Apartamento,206.5,4.0,3,18.0,17.15,717467.0,Alto
Sul,Casa,107.7,4.0,2,1.0,0.5,478870.0,Médio
Norte,Sobrado,128.8,3.0,2,9.0,6.89,456780.0,Médio
Norte,Casa,130.0,5.0,2,24.0,11.69,462043.0,Médio
Sul,Casa,183.1,3.0,1,19.0,2.91,673822.0,Alto
Oeste,Apartamento,116.2,5.0,3,18.0,3.68,475548.0,Médio
Sul,Casa,131.2,3.0,1,22.0,9.51,489096.0,Médio
Leste,Casa,144.3,3.0,1,23.0,22.82,435055.0,Médio
Leste,Apartamento,127.5,2.0,0,10.0,16.6,364144.0,Médio
Sul,Apartamento,102.1,4.0,2,33.0,8.75,383905.0,Médio
Oeste,Apartamento,127.8,3.0,2,27.0,13.1,373286.0,Médio
Oeste,Apartamento,162.9,2.0,1,4.0,4.54,591685.0,Médio
Sul,Apartamento,78.9,1.0,0,4.0,10.24,322913.0,Médio
Sul,Apartamento,125.3,3.0,2,20.0,6.28,507778.0,Médio
Sul,Apartamento,92.0,3.0,0,11.0,2.11,384005.0,Médio
Sul,Apartamento,167.8,3.0,2,3.0,12.1,662259.0,Alto
Norte,Sobrado,59.1,4.0,3,19.0,8.13,217883.0,Econômico
Leste,Casa,97.6,1.0,1,37.0,4.44,264284.0,Econômico
Leste,Casa,135.1,3.0,1,24.0,24.23,385128.0,Médio
Norte,Sobrado,182.6,2.0,2,13.0,0.5,655189.0,Alto
Sul,Casa,117.4,4.0,2,10.0,3.79,522174.0,Médio
Oeste,Apartamento,97.8,4.0,1,31.0,0.59,337837.0,Médio
Norte,Casa,195.2,3.0,3,10.0,14.55,691698.0,Alto
Norte,Casa,62.1,3.0,0,17.0,12.11,151021.0,Econômico
Sul,Casa,32.0,2.0,1,26.0,4.02,128984.0,Econômico
,Casa,137.6,3.0,2,17.0,11.26,496340.0,Médio
Norte,Apartamento,99.9,4.0,2,22.0,5.04,340557.0,Médio
Leste,Apartamento,79.2,3.0,0,10.0,14.12,215806.0,Econômico
Oeste,Apartamento,148.3,2.0,2,20.0,6.05,503702.0,Médio
Norte,Casa,129.8,3.0,1,4.0,5.32,419136.0,Médio
Leste,Casa,97.4,4.0,1,22.0,27.29,249999.0,Econômico
Sul,Apartamento,68.8,2.0,0,24.0,2.89,221692.0,Econômico
Leste,,154.9,2.0,2,9.0,1.28,563158.0,Médio
Leste,Casa,146.0,3.0,0,21.0,8.78,428598.0,Médio
Leste,Apartamento,116.0,4.0,1,18.0,34.84,274184.0,Econômico
Norte,Apartamento,193.9,2.0,1,0.0,4.75,671795.0,Alto
Oeste,Apartamento,77.2,2.0,2,6.0,0.64,318452.0,Médio
Sul,Apartamento,59.0,2.0,2,3.0,4.14,278852.0,Econômico
Norte,Apartamento,92.3,2.0,2,0.0,7.05,304434.0,Médio
Norte,Apartamento,118.2,3.0,1,14.0,1.77,421073.0,Médio
Leste,Apartamento,129.7,3.0,2,39.0,10.73,396394.0,Médio
Leste,Apartamento,110.4,3.0,1,11.0,50.0,185554.0,Econômico
Norte,Sobrado,134.1,3.0,2,21.0,6.01,434533.0,Médio
Leste,Apartamento,69.9,2.0,3,21.0,4.38,274502.0,Econômico
Norte,Casa,177.8,4.0,0,16.0,5.12,620593.0,Alto
Leste,Casa,116.7,3.0,2,28.0,1.22,443106.0,Médio
Norte,,,5.0,0,13.0,21.48,,
Leste,Apartamento,133.7,3.0,1,19.0,5.36,473333.0,Médio
Sul,Apartamento,138.3,2.0,1,32.0,4.9,490640.0,Médio
Oeste,Sobrado,142.8,3.0,1,14.0,10.78,483030.0,Médio
Norte,Sobrado,137.9,2.0,1,11.0,5.83,444994.0,Médio
Sul,Sobrado,145.7,3.0,2,39.0,10.45,511455.0,Médio
Norte,Apartamento,,1.0,1,19.0,0.63,,
Oeste,Apartamento,127.9,2.0,2,29.0,16.81,355620.0,Médio
Oeste,Casa,148.4,4.0,1,37.0,28.22,363851.0,Médio
Sul,Sobrado,116.4,2.0,0,2.0,10.46,403351.0,Médio
Leste,Casa,177.6,4.0,2,27.0,30.91,481036.0,Médio
Oeste,Casa,92.9,2.0,1,25.0,1.64,292749.0,Econômico
Leste,Apartamento,192.0,3.0,1,29.0,6.49,649872.0,Alto
Leste,Sobrado,118.4,3.0,2,12.0,9.21,411481.0,Médio
Norte,Apartamento,62.8,3.0,1,12.0,8.72,197382.0,Econômico
Norte,Apartamento,125.1,2.0,0,1.0,5.13,410966.0,Médio
Oeste,Casa,92.8,2.0,1,36.0,4.13,242652.0,Econômico
Oeste,Casa,153.6,1.0,3,37.0,1.36,545009.0,Médio
Leste,Apartamento,93.9,2.0,2,1.0,4.97,387991.0,Médio
Sul,Apartamento,102.2,3.0,2,35.0,1.78,393781.0,Médio
Sul,Casa,44.4,4.0,2,25.0,13.26,197586.0,Econômico
Leste,Apartamento,101.9,4.0,0,10.0,2.34,367835.0,Médio
Oeste,Casa,30.0,4.0,1,7.0,0.6,169936.0,Econômico
Oeste,Apartamento,56.6,4.0,2,39.0,8.04,154775.0,Econômico
Oeste,Casa,150.4,3.0,0,21.0,9.04,448374.0,Médio
Leste,Casa,151.4,2.0,1,19.0,20.55,431603.0,Médio
Norte,Apartamento,137.0,4.0,1,7.0,8.6,470072.0,Médio
Norte,Apartamento,81.3,3.0,1,28.0,4.24,234477.0,Econômico
Oeste,Apartamento,118.1,3.0,3,39.0,16.25,335409.0,Médio
Leste,Apartamento,119.9,2.0,0,25.0,7.77,352641.0,Médio
Norte,,73.7,3.0,1,29.0,0.83,236085.0,Econômico
Norte,Apartamento,180.1,3.0,0,16.0,8.34,570860.0,Médio
Leste,Sobrado,155.1,4.0,3,19.0,23.86,509172.0,Médio
Norte,Apartamento,111.2,3.0,0,15.0,5.05,335428.0,Médio
Norte,Casa,121.1,2.0,1,6.0,3.51,437626.0,Médio
Leste,Sobrado,128.3,5.0,2,15.0,1.55,502907.0,Médio
Leste,Casa,38.3,,2,26.0,1.64,,
Leste,Casa,110.1,3.0,1,22.0,5.67,401683.0,Médio
Norte,Casa,92.7,1.0,1,23.0,9.06,247863.0,Econômico
Leste,Apartamento,79.9,3.0,1,8.0,0.84,320520.0,Médio
Norte,Sobrado,108.8,4.0,1,34.0,28.06,211768.0,Econômico
Sul,Sobrado,191.9,2.0,1,19.0,14.07,684046.0,Alto
Oeste,Sobrado,145.6,4.0,1,36.0,8.83,445089.0,Médio
Leste,Apartamento,97.2,2.0,1,16.0,17.63,250492.0,Econômico
Oeste,Casa,142.9,4.0,1,30.0,0.84,508031.0,Médio
Leste,Sobrado,176.0,4.0,2,7.0,6.48,694270.0,Alto
Leste,Apartamento,157.0,4.0,3,14.0,9.95,599319.0,Médio
Norte,Apartamento,122.4,1.0,2,30.0,17.64,285784.0,Econômico
Sul,Casa,94.1,5.0,0,29.0,15.3,313721.0,Médio
Sul,Casa,147.9,3.0,0,19.0,3.24,546243.0,Médio
Norte,Sobrado,135.7,2.0,3,38.0,28.28,303483.0,Médio
Oeste,Apartamento,155.8,4.0,1,11.0,1.33,616266.0,Alto
Sul,Sobrado,145.4,,0,16.0,20.81,,
Oeste,Apartamento,162.0,4.0,1,29.0,35.38,444193.0,Médio
Leste,Apartamento,98.6,2.0,2,28.0,1.95,365882.0,Médio
Oeste,Apartamento,172.7,3.0,2,18.0,12.8,611234.0,Alto
Leste,Sobrado,127.9,3.0,1,10.0,0.5,480905.0,Médio
Leste,Casa,203.0,1.0,0,33.0,5.2,630542.0,Alto
Sul,Casa,92.4,2.0,3,6.0,7.26,386538.0,Médio
Norte,Apartamento,189.4,1.0,1,33.0,8.69,548090.0,Médio
Leste,Sobrado,127.9,3.0,2,19.0,27.48,367186.0,Médio
Sul,Apartamento,93.9,2.0,2,37.0,11.16,344947.0,Médio
Norte,Sobrado,100.6,3.0,2,23.0,6.56,306293.0,Médio
Leste,Casa,107.2,2.0,1,9.0,16.59,316890.0,Médio
Norte,Apartamento,137.0,2.0,1,31.0,30.06,284035.0,Econômico
Oeste,Casa,140.9,3.0,1,14.0,0.5,499781.0,Médio
Oeste,Apartamento,97.1,1.0,2,36.0,40.47,132170.0,Econômico
Oeste,Casa,119.0,4.0,3,19.0,0.9,479607.0,Médio
Sul,Casa,205.7,4.0,0,2.0,16.84,737806.0,Alto
Norte,Apartamento,189.1,3.0,0,36.0,3.29,579369.0,Médio
Oeste,Sobrado,137.5,3.0,3,39.0,1.42,485210.0,Médio
Sul,Apartamento,121.5,4.0,2,7.0,5.8,532202.0,Médio
Oeste,Casa,124.8,2.0,2,39.0,10.33,372857.0,Médio
Oeste,Sobrado,144.5,1.0,1,22.0,4.8,465477.0,Médio
Oeste,Casa,79.1,2.0,1,39.0,0.56,,
Sul,Apartamento,109.7,4.0,2,10.0,9.15,474611.0,Médio
Sul,Sobrado,53.3,1.0,2,7.0,23.27,194125.0,Econômico
Oeste,Casa,136.0,3.0,1,28.0,4.83,463527.0,Médio
Sul,Apartamento,145.9,5.0,0,29.0,2.44,585341.0,Médio
Norte,Apartamento,100.7,4.0,1,,5.84,,
Leste,Sobrado,183.0,3.0,1,38.0,0.5,630013.0,Alto
Oeste,Casa,71.0,1.0,1,27.0,17.18,121570.0,Econômico
Leste,Casa,61.4,4.0,3,35.0,17.51,147916.0,Econômico
Leste,Sobrado,129.0,3.0,1,12.0,8.87,433299.0,Médio
Norte,Sobrado,161.9,2.0,2,31.0,4.36,546653.0,Médio
Leste,Apartamento,187.4,1.0,0,35.0,16.08,539332.0,Médio
,Apartamento,101.6,4.0,2,36.0,8.09,348167.0,Médio
Norte,Apartamento,163.1,3.0,3,25.0,17.48,477946.0,Médio
Leste,Casa,118.5,4.0,0,21.0,9.98,378773.0,Médio
Oeste,Apartamento,113.1,4.0,0,3.0,15.34,379148.0,Médio
Oeste,Casa,155.3,3.0,1,30.0,9.13,506588.0,Médio
Leste,Sobrado,146.1,3.0,0,17.0,5.35,458716.0,Médio
Leste,Sobrado,56.9,3.0,2,37.0,31.69,80000.0,Econômico
Sul,Apartamento,179.1,2.0,3,23.0,7.79,680486.0,Alto
Sul,Sobrado,175.2,3.0,1,22.0,9.29,648484.0,Alto
Oeste,Apartamento,95.0,4.0,1,21.0,2.49,314044.0,Médio
Oeste,Sobrado,135.8,,1,,9.83,,
Oeste,Apartamento,139.8,4.0,2,30.0,8.48,489639.0,Médio
Oeste,Apartamento,130.4,3.0,0,,2.04,,
Leste,Sobrado,98.0,3.0,1,27.0,0.61,364743.0,Médio
Leste,Apartamento,93.1,3.0,2,31.0,9.27,314262.0,Médio
Oeste,Apartamento,119.0,3.0,2,4.0,14.43,405293.0,Médio
Leste,Casa,166.9,3.0,1,37.0,7.41,499968.0,Médio
Leste,Casa,141.7,2.0,2,9.0,2.57,527384.0,Médio
Oeste,Casa,105.2,3.0,0,39.0,10.98,300238.0,Médio
Oeste,Casa,150.9,2.0,0,23.0,0.83,535732.0,Médio
Sul,Casa,30.0,2.0,2,34.0,5.83,142056.0,Econômico
Sul,Apartamento,166.0,3.0,2,22.0,1.78,671496.0,Alto
Norte,Apartamento,50.4,3.0,0,16.0,2.04,156838.0,Econômico
Leste,Apartamento,105.5,5.0,1,0.0,2.26,441835.0,Médio
Norte,Sobrado,75.2,3.0,1,30.0,4.89,211199.0,Econômico
Sul,Casa,68.2,3.0,1,30.0,0.53,324501.0,Médio
Leste,Casa,166.4,3.0,1,33.0,5.07,537307.0,Médio
Sul,Casa,101.3,3.0,0,8.0,7.17,,
Leste,Sobrado,133.9,1.0,1,21.0,6.6,422056.0,Médio
Norte,Apartamento,118.1,,2,12.0,4.83,,
Norte,Casa,139.1,2.0,2,24.0,18.27,359286.0,Médio
Oeste,Casa,123.1,3.0,2,17.0,1.57,485621.0,Médio
Sul,Casa,68.7,1.0,0,11.0,7.05,233415.0,Econômico
Norte,Apartamento,159.9,2.0,3,39.0,0.64,509970.0,Médio
Leste,Sobrado,100.2,2.0,2,16.0,0.74,389554.0,Médio
Oeste,Sobrado,57.7,5.0,2,14.0,8.53,266618.0,Econômico
Norte,Casa,102.9,2.0,2,14.0,8.35,,
Leste,Casa,180.0,3.0,3,14.0,21.04,571926.0,Médio
Norte,Sobrado,,2.0,1,38.0,8.16,,
Norte,Casa,106.1,3.0,1,12.0,32.14,219757.0,Econômico
Leste,Apartamento,106.0,2.0,2,16.0,0.5,417570.0,Médio
Leste,Casa,107.1,2.0,2,31.0,1.03,396806.0,Médio
Leste,Casa,203.1,,2,8.0,0.5,,
Leste,Casa,135.3,1.0,1,39.0,2.05,457336.0,Médio
Oeste,Casa,137.2,1.0,0,19.0,7.79,422726.0,Médio
Leste,Sobrado,,2.0,1,25.0,10.37,,
Sul,Sobrado,129.6,1.0,3,26.0,0.5,491699.0,Médio
Oeste,Casa,109.6,2.0,1,20.0,29.18,242569.0,Econômico
Sul,Apartamento,112.1,2.0,1,17.0,18.46,359473.0,Médio
Sul,,117.1,4.0,1,12.0,3.52,517590.0,Médio
Norte,Sobrado,118.5,3.0,1,15.0,0.8,425022.0,Médio
Norte,Apartamento,149.1,3.0,2,8.0,1.86,527971.0,Médio
Oeste,Sobrado,122.1,2.0,2,11.0,1.36,471930.0,Médio
Oeste,Sobrado,,4.0,2,37.0,1.32,,
Leste,Casa,116.8,2.0,1,18.0,7.31,416711.0,Médio
Sul,Casa,123.1,1.0,2,6.0,2.82,527651.0,Médio
Norte,Apartamento,40.1,3.0,1,34.0,4.43,100300.0,Econômico
Norte,Apartamento,156.7,2.0,2,17.0,45.57,327643.0,Médio
Sul,Apartamento,133.9,2.0,1,15.0,11.53,488624.0,Médio
Leste,Sobrado,159.9,3.0,1,38.0,29.76,424934.0,Médio
Leste,Apartamento,30.0,4.0,2,3.0,1.54,164654.0,Econômico
Leste,Apartamento,203.5,3.0,3,24.0,4.81,738309.0,Alto
Sul,Apartamento,114.4,3.0,0,31.0,8.09,377552.0,Médio
Oeste,Casa,164.3,5.0,2,39.0,0.8,615735.0,Alto
Leste,Sobrado,78.4,2.0,1,12.0,0.5,,
Leste,Apartamento,144.5,2.0,1,16.0,11.1,456350.0,Médio
Leste,Apartamento,77.9,2.0,0,36.0,10.27,131380.0,Econômico
Sul,Casa,95.0,3.0,1,5.0,5.29,402979.0,Médio
Norte,Casa,196.6,3.0,1,18.0,6.73,671602.0,Alto
Sul,Apartamento,112.4,4.0,0,12.0,5.37,463212.0,Médio
Oeste,Casa,128.7,3.0,1,25.0,0.5,471504.0,Médio
Norte,Apartamento,154.8,3.0,3,13.0,4.09,564783.0,Médio
Norte,Apartamento,139.8,2.0,0,30.0,1.95,394070.0,Médio
Norte,Casa,126.0,4.0,2,3.0,1.04,510184.0,Médio
Norte,Casa,134.6,5.0,1,38.0,31.4,286405.0,Econômico
Oeste,Sobrado,216.1,4.0,2,7.0,9.15,840426.0,Alto
Leste,Apartamento,117.7,1.0,1,24.0,13.04,345125.0,Médio
Sul,Casa,128.0,3.0,0,12.0,3.79,488598.0,Médio
Norte,Casa,162.0,1.0,0,31.0,4.99,452890.0,Médio
Sul,Apartamento,164.2,2.0,0,37.0,2.7,565395.0,Médio
Sul,Casa,167.5,1.0,0,37.0,1.02,567294.0,Médio
Norte,Apartamento,145.5,3.0,2,,1.97,,
Sul,Sobrado,74.3,3.0,2,29.0,15.97,260853.0,Econômico
Sul,Apartamento,185.3,2.0,2,2.0,11.32,693458.0,Alto
Leste,Casa,74.1,2.0,2,27.0,7.92,273735.0,Econômico
Leste,Apartamento,132.1,3.0,0,2.0,6.45,472129.0,Médio
Norte,,89.8,2.0,1,33.0,25.57,155947.0,Econômico
Sul,Casa,117.4,2.0,1,15.0,0.76,465080.0,Médio
Leste,Casa,133.2,3.0,1,21.0,3.29,479822.0,Médio
Leste,Apartamento,,4.0,1,31.0,4.31,,
Oeste,Casa,136.9,1.0,1,37.0,15.25,326015.0,Médio
Leste,Apartamento,184.5,1.0,1,7.0,48.95,462485.0,Médio
Norte,Sobrado,138.1,2.0,1,7.0,2.75,501542.0,Médio
Norte,Apartamento,110.2,4.0,2,5.0,20.74,334178.0,Médio
Leste,Apartamento,158.6,3.0,2,13.0,17.76,503145.0,Médio
Norte,Apartamento,167.6,3.0,1,31.0,2.54,553755.0,Médio
Leste,Casa,70.9,2.0,3,34.0,5.1,246383.0,Econômico
Oeste,Casa,143.9,3.0,3,9.0,5.27,571395.0,Médio
Leste,Apartamento,148.0,1.0,1,2.0,38.27,361656.0,Médio
Sul,Sobrado,108.1,3.0,1,11.0,2.0,471489.0,Médio
Leste,Casa,175.0,4.0,1,30.0,16.05,581283.0,Médio
Sul,Casa,114.0,3.0,3,28.0,4.07,489017.0,Médio
Leste,Casa,125.0,4.0,2,4.0,13.13,442959.0,Médio
Oeste,Casa,113.1,3.0,0,24.0,5.45,392784.0,Médio
Sul,Casa,,2.0,1,30.0,8.64,,
Oeste,Apartamento,76.1,4.0,1,20.0,17.87,280191.0,Econômico
Oeste,Apartamento,62.4,1.0,1,19.0,16.3,111399.0,Econômico
Norte,Sobrado,183.8,3.0,0,38.0,20.13,486434.0,Médio
Norte,Sobrado,86.1,2.0,2,21.0,0.61,254710.0,Econômico
Norte,Apartamento,80.3,1.0,2,3.0,11.78,252377.0,Econômico
Norte,Apartamento,33.9,3.0,2,12.0,1.51,131021.0,Econômico
Norte,Casa,,2.0,2,,5.38,,
Leste,Casa,67.1,3.0,2,12.0,7.95,240506.0,Econômico
Norte,Apartamento,185.7,3.0,1,16.0,5.15,593328.0,Médio
Sul,Apartamento,160.4,1.0,2,35.0,7.33,550291.0,Médio
Oeste,Casa,92.5,2.0,0,32.0,50.0,80000.0,Econômico
Norte,Casa,210.1,3.0,2,0.0,1.45,798099.0,Alto
Oeste,Apartamento,159.3,2.0,0,14.0,11.25,461879.0,Médio
Sul,Apartamento,107.0,3.0,2,12.0,5.04,460884.0,Médio
Norte,Apartamento,30.0,3.0,1,16.0,1.43,80000.0,Econômico
Leste,Casa,211.6,4.0,0,23.0,1.73,739683.0,Alto
Leste,Apartamento,64.4,3.0,0,7.0,29.81,140262.0,Econômico
Oeste,Apartamento,54.2,3.0,0,26.0,21.17,84010.0,Econômico
Leste,Sobrado,160.9,3.0,2,22.0,23.76,468110.0,Médio
Oeste,Apartamento,217.6,2.0,2,7.0,47.72,578364.0,Médio
