acidez_fixa,acidez_volatil,acido_citrico,acucar_residual,cloretos,dioxido_enxofre_livre,dioxido_enxofre_total,densidade,ph,sulfatos,alcool,qualidade,lote,temp_fermentacao
7.7,0.63,0.08,1.9,0.076,15.0,27.0,0.9967,3.32,0.54,9.5,6,Lote_C,17.622347279178253
7.9,0.545,0.06,4.0,0.087,27.0,61.0,0.9965,3.36,0.67,10.7,6,Lote_A,16.089521573637658
7.1,0.685,0.35,2.0,0.088,9.0,92.0,0.9963,3.28,0.62,9.4,5,Lote_A,21.70814609684557
13.5,0.53,0.79,4.8,0.12,23.0,77.0,1.0018,3.18,0.77,13.0,5,Lote_A,14.463402433268442
13.7,0.415,0.68,2.9,0.085,17.0,43.0,1.0014,3.06,0.8,10.0,6,Lote_D,9.8666893512833
7.5,0.71,0.0,1.6,0.092,22.0,31.0,0.99635,3.38,0.58,10.0,6,Lote_A,21.0637241922987
8.0,0.6,0.22,2.1,0.08,25.0,105.0,0.99613,3.3,0.49,9.9,5,Lote_C,32.1120276939497
7.8,0.53,0.04,1.7,0.076,17.0,31.0,0.9964,3.33,0.56,10.0,6,Lote_A,26.784283871094445
8.5,0.18,0.51,1.75,0.071,45.0,88.0,0.99524,3.33,0.76,11.8,7,Lote_D,17.096111057480144
7.8,0.645,,,0.082,8.0,16.0,0.9964,3.38,,9.8,6,Lote_A,14.996898597135297
7.8,0.56,0.12,2.0,0.082,7.0,28.0,0.997,3.37,0.5,9.4,6,Lote_A,24.76512073572618
9.5,0.56,0.33,2.4,0.089,35.0,67.0,0.9972,3.28,0.73,11.8,7,Lote_B,21.153204551321824
7.8,0.815,0.01,2.6,0.074,48.0,90.0,0.99621,3.38,0.62,10.8,5,Lote_C,30.17839159519378
8.3,0.26,0.37,1.4,0.076,8.0,23.0,0.9974,3.26,0.7,9.6,6,Lote_A,25.747117180006363
6.7,0.675,,,0.089,17.0,82.0,0.9958,3.35,,10.1,5,Lote_C,32.14923864326984
10.4,0.24,,,0.075,6.0,21.0,0.9976,3.25,,10.8,7,Lote_D,18.178987582560314
9.9,0.35,0.41,2.3,0.083,11.0,61.0,0.9982,3.21,0.5,9.5,5,Lote_A,20.87009278310302
9.9,0.25,0.46,1.7,0.062,26.0,42.0,0.9959,3.18,0.83,10.6,6,Lote_B,15.722443210108732
6.5,0.63,0.33,1.8,0.059,16.0,28.0,0.99531,3.36,0.64,10.1,6,Lote_C,19.391480227910666
8.2,0.6,,,0.072,11.0,73.0,0.9963,3.2,,9.3,5,Lote_B,25.15236710217915
12.5,0.28,0.54,2.3,0.082,12.0,29.0,0.9997,3.11,1.36,9.8,7,Lote_C,28.09401012510299
7.2,0.65,,,0.094,5.0,31.0,0.9993,3.67,,9.7,5,Lote_D,20.44476136304851
8.5,0.4,0.4,6.3,0.05,3.0,10.0,0.99566,3.28,0.56,12.0,4,Lote_D,22.275305694694826
7.5,0.77,0.2,8.1,0.098,30.0,92.0,0.99892,3.2,0.58,9.2,5,Lote_B,18.103350400808356
7.4,0.62,0.05,1.9,0.068,24.0,42.0,0.9961,3.42,0.57,11.5,6,Lote_A,26.490888539173483
7.5,0.52,0.4,2.2,0.06,12.0,20.0,0.99474,3.26,0.64,11.8,6,Lote_C,17.88729444797481
9.4,0.43,0.24,2.8,0.092,14.0,45.0,0.998,3.19,0.73,10.0,6,Lote_A,20.817387395837265
7.3,0.305,0.39,1.2,0.059,7.0,11.0,0.99331,3.29,0.52,11.5,6,Lote_B,28.377736967722427
6.4,0.67,0.08,2.1,2.0091170623948833,19.0,48.0,0.9949,3.49,0.49,11.4,6,Lote_B,28.0503373434669
7.2,0.725,,,0.086,4.0,11.0,0.9962,3.41,,10.9,5,Lote_B,23.73990217030958
12.3,0.39,0.63,2.3,0.9849275592367209,6.0,18.0,1.0004,3.16,0.49,9.5,5,Lote_A,11.8689114270563
6.2,0.52,0.08,4.4,0.071,11.0,32.0,0.99646,3.56,0.63,11.6,6,Lote_B,22.675707177276603
7.0,0.51,0.09,2.1,0.062,4.0,9.0,0.99584,3.35,0.54,10.5,5,Lote_C,25.017492267764325
8.7,0.69,0.31,3.0,0.086,23.0,81.0,1.0002,3.48,0.74,11.6,6,Lote_C,24.951767055187535
8.5,0.49,,,0.084,9.0,67.0,0.9968,3.17,,9.4,5,Lote_D,9.379509628349131
8.4,0.745,,,0.09,16.0,63.0,0.9965,3.19,,9.6,5,Lote_A,11.097216583947588
8.3,0.655,,,0.083,15.0,113.0,0.9966,3.17,,9.8,5,Lote_A,17.181167789384823
7.0,0.54,0.0,2.1,0.079,39.0,55.0,0.9956,3.39,0.84,11.4,6,Lote_D,21.962325705632942
8.8,0.52,0.34,2.7,0.087,24.0,122.0,0.9982,3.26,0.61,9.5,5,Lote_D,17.55230278154248
7.2,0.45,0.15,2.0,0.078,10.0,28.0,0.99609,3.29,0.51,9.9,6,Lote_C,23.53408714656867
8.9,0.635,0.37,1.7,0.263,5.0,62.0,0.9971,3.0,1.09,9.3,5,Lote_B,15.469821027488626
8.9,0.745,0.18,2.5,0.077,15.0,48.0,0.99739,3.2,0.47,9.7,6,Lote_B,17.380017132723218
8.6,0.635,0.68,1.8,0.403,19.0,56.0,0.99632,3.02,1.15,9.3,5,Lote_A,14.4265731937001
7.4,0.36,0.3,1.8,0.074,17.0,24.0,0.99419,3.24,0.7,11.4,8,Lote_C,22.643840528957867
6.8,0.63,,,0.089,11.0,44.0,0.9953,3.47,,10.4,6,Lote_A,24.511273366945957
9.6,0.68,0.24,2.2,0.087,5.0,28.0,0.9988,3.14,0.6,10.2,5,Lote_D,18.027890764607395
7.8,0.48,0.68,1.7,0.415,14.0,32.0,0.99656,3.09,1.06,9.1,6,Lote_B,21.45724961605903
9.0,0.4,0.43,2.4,0.068,29.0,46.0,0.9943,3.2,0.6,12.2,6,Lote_D,22.75659862380521
9.4,0.24,0.33,2.3,0.061,52.0,73.0,0.99786,3.47,0.9,10.2,6,Lote_D,18.40496166623588
7.3,0.39,,,0.074,9.0,46.0,0.9962,3.41,,9.4,6,Lote_B,16.420120965368973
8.1,0.87,0.0,2.2,0.084,10.0,31.0,0.99656,3.25,0.5,9.8,5,Lote_D,18.101213300098788
8.0,0.705,,,0.074,8.0,19.0,0.9962,3.34,,10.5,6,Lote_A,19.515869813032946
8.4,0.56,0.04,2.0,0.082,10.0,22.0,0.9976,3.22,0.44,9.6,5,Lote_D,24.385393846752937
5.1,0.585,,,0.044,14.0,86.0,0.99264,3.56,,12.9,7,Lote_C,18.807332765786665
8.3,0.33,0.42,2.3,0.07,9.0,20.0,0.99426,3.38,0.77,12.7,7,Lote_D,23.043194149369974
7.1,0.61,0.02,2.5,0.081,17.0,87.0,0.99745,3.48,0.6,9.7,6,Lote_B,16.094897853675548
7.0,0.36,0.21,2.3,0.086,20.0,65.0,0.99558,3.4,0.54,10.1,6,Lote_A,23.945670125733393
7.5,0.57,0.02,2.6,0.077,11.0,35.0,0.99557,3.36,0.62,10.8,6,Lote_B,24.651280781209753
6.1,0.58,,,0.044,16.0,70.0,0.99352,3.46,,12.5,6,Lote_D,23.877227353815464
14.3,0.31,0.74,1.8,0.075,6.0,15.0,1.0008,2.86,0.79,8.4,6,Lote_C,21.952011719581336
6.9,0.48,0.2,1.9,0.082,9.0,23.0,0.99585,3.39,0.43,9.05,4,Lote_A,12.216183270606379
6.0,0.5,0.0,1.4,0.057,15.0,26.0,0.99448,3.36,0.45,9.5,5,Lote_A,16.420415746207336
7.2,0.36,0.46,2.1,0.074,24.0,44.0,0.99534,3.4,0.85,11.0,7,Lote_A,16.306845939869653
7.7,0.54,,,0.089,23.0,147.0,0.99636,3.26,,9.7,5,Lote_A,27.239307180383722
15.0,0.21,0.44,2.2,0.075,10.0,24.0,1.00005,3.07,0.84,9.2,7,Lote_A,22.755338727379538
8.1,0.545,,,0.08,13.0,35.0,0.9972,3.3,,9.0,6,Lote_D,7.10892285168754
8.7,0.31,0.46,1.4,0.059,11.0,25.0,0.9966,3.36,0.76,10.1,6,Lote_D,20.383080527292304
10.9,0.39,0.47,1.8,0.118,6.0,14.0,0.9982,3.3,0.75,9.8,6,Lote_B,24.699240517648438
7.0,0.975,,,0.087,12.0,67.0,0.99565,3.35,,9.4,4,Lote_C,16.85241725975458
8.2,0.39,0.49,2.3,0.099,47.0,133.0,0.9979,3.38,0.99,9.8,5,Lote_A,14.057566390367839
5.3,0.47,0.11,2.2,0.048,16.0,89.0,0.99182,3.54,0.88,13.5666666666667,7,Lote_C,23.94481677617199
8.7,0.69,0.0,3.2,0.084,13.0,33.0,0.9992,3.36,0.45,9.4,5,Lote_B,27.60586068882371
11.9,0.37,0.69,2.3,0.078,12.0,24.0,0.9958,3.0,0.65,12.8,6,Lote_B,15.630248272542872
11.9,0.38,0.49,2.7,0.098,12.0,42.0,1.0004,3.16,0.61,10.3,5,Lote_C,28.121910293001058
6.5,0.46,0.14,2.4,0.114,9.0,37.0,0.99732,3.66,0.65,9.8,5,Lote_C,20.94208004148714
9.5,0.39,0.41,8.9,0.069,18.0,39.0,0.99859,3.29,0.81,10.9,7,Lote_C,17.16519512223378
10.0,0.35,0.47,2.0,0.061,6.0,11.0,0.99585,3.23,0.52,12.0,6,Lote_C,20.605589991686028
7.9,0.545,0.06,4.0,0.087,27.0,61.0,0.9965,3.36,0.67,10.7,6,Lote_A,20.77203638480846
10.2,0.44,0.58,4.1,0.092,11.0,24.0,0.99745,3.29,0.99,12.0,7,Lote_D,18.70799639896416
8.0,0.58,0.28,3.2,0.066,21.0,114.0,0.9973,3.22,0.54,9.4,6,Lote_A,24.45369041887445
9.0,0.47,0.31,2.7,0.084,24.0,125.0,0.9984,3.31,0.61,9.4,5,Lote_A,18.130863029752838
7.8,0.6,0.26,2.0,0.08,31.0,131.0,0.99622,3.21,0.52,9.9,5,Lote_D,9.416681195515
10.6,0.36,,,0.152,7.0,18.0,0.9986,3.04,,9.4,5,Lote_B,13.905137387319368
7.0,0.43,0.3,2.0,0.085,6.0,39.0,0.99346,3.33,0.46,11.9,6,Lote_B,26.63484265528338
12.7,0.6,0.49,2.8,0.075,5.0,19.0,0.9994,3.14,0.57,11.4,5,Lote_A,17.166024134769504
10.0,0.49,0.2,11.0,0.071,13.0,50.0,1.0015,3.16,0.69,9.2,6,Lote_D,19.191871272687646
7.3,0.305,,,0.059,7.0,11.0,0.99331,3.29,,11.5,6,Lote_A,12.998974783154456
8.2,0.24,0.34,5.1,0.062,8.0,22.0,0.9974,3.22,0.94,10.9,6,Lote_D,19.634832600905987
8.6,0.52,0.38,1.5,0.096,5.0,18.0,0.99666,3.2,0.52,9.4,5,Lote_B,18.906896444206346
8.1,0.785,0.52,2.0,0.122,37.0,153.0,0.9969,3.21,0.69,9.3,5,Lote_B,19.132340854824918
6.9,0.63,0.01,2.4,0.076,14.0,39.0,0.99522,3.34,0.53,10.8,6,Lote_B,15.883203977107886
8.6,0.45,0.31,2.6,0.086,21.0,50.0,0.9982,3.37,0.91,9.9,6,Lote_C,27.618420997203025
5.6,0.31,0.37,1.4,0.074,12.0,96.0,0.9954,3.32,0.58,9.2,5,Lote_D,10.596541153627443
7.2,0.48,0.07,5.5,0.089,10.0,18.0,0.99684,3.37,0.68,11.2,7,Lote_B,19.901073423925173
7.2,0.54,0.27,2.6,0.084,12.0,78.0,0.9964,3.39,0.71,11.0,5,Lote_B,21.51890154745253
9.8,0.88,0.25,2.5,0.104,35.0,155.0,1.001,3.41,0.67,11.2,5,Lote_A,20.12426169122322
6.8,0.68,0.21,2.1,0.07,9.0,23.0,0.99546,3.38,0.6,10.3,5,Lote_C,30.632177944866044
7.9,0.5,0.33,2.0,0.084,15.0,143.0,0.9968,3.2,0.55,9.5,5,Lote_D,16.735210043710943
6.6,0.39,0.49,1.7,0.07,23.0,149.0,0.9922,3.12,0.5,11.5,6,Lote_B,15.311100830650448
7.7,0.26,0.26,2.0,0.052,19.0,77.0,0.9951,3.15,0.79,10.9,6,Lote_B,7.737965382838688
8.3,0.3,0.49,3.8,0.09,11.0,24.0,0.99498,3.27,0.64,12.1,7,Lote_D,14.684454816752678
6.9,0.765,0.02,2.3,0.063,35.0,63.0,0.9975,3.57,0.78,9.9,5,Lote_B,8.96218137354867
7.1,0.62,0.06,1.3,0.07,5.0,12.0,0.9942,3.17,0.48,9.8,5,Lote_C,19.438230542648096
9.4,0.685,0.11,2.7,0.077,6.0,31.0,0.9984,3.19,0.7,10.1,6,Lote_B,17.863571871961337
10.5,0.36,0.47,2.2,0.074,9.0,23.0,0.99638,3.23,0.76,12.0,6,Lote_B,22.152863360470246
8.7,0.54,0.26,2.5,0.097,7.0,31.0,0.9976,3.27,0.6,9.3,6,Lote_D,19.28243827822294
6.5,0.61,0.0,2.2,0.095,48.0,59.0,0.99541,3.61,0.7,11.5,6,Lote_B,13.974982394504863
8.2,0.23,0.42,1.9,0.069,9.0,17.0,0.99376,3.21,0.54,12.3,6,Lote_C,22.795796444515922
6.9,0.58,0.01,1.9,0.08,40.0,54.0,0.99683,3.4,0.73,9.7,5,Lote_B,27.059382594472638
11.5,0.18,,,0.104,4.0,23.0,0.9996,3.28,,10.1,6,Lote_A,16.924909943301017
8.9,0.12,0.45,1.8,0.075,10.0,21.0,0.99552,3.41,0.76,11.9,7,Lote_D,19.47759326811567
8.3,0.675,0.26,2.1,0.084,11.0,43.0,0.9976,3.31,0.53,9.2,4,Lote_D,26.258257356999124
8.1,0.785,0.52,2.0,0.122,37.0,153.0,0.9969,3.21,0.69,9.3,5,Lote_A,18.921572365493713
13.2,0.46,0.52,2.2,0.071,12.0,35.0,1.0006,3.1,0.56,9.0,6,Lote_D,24.61466091104704
9.8,0.45,0.38,2.5,0.081,34.0,66.0,0.99726,3.15,0.58,9.8,5,Lote_D,20.854159492066486
10.5,0.51,,,0.107,6.0,15.0,0.9973,3.09,,11.8,7,Lote_B,12.689820142490571
9.0,0.6,0.29,2.0,0.069,32.0,73.0,0.99654,3.34,0.57,10.0,5,Lote_B,17.6536329762261
7.1,0.63,0.06,2.0,0.083,8.0,29.0,0.99855,3.67,0.73,9.6,5,Lote_C,13.875324749055238
7.2,0.645,0.0,1.9,0.097,15.0,39.0,0.99675,3.37,0.58,9.2,6,Lote_D,19.845246760340327
7.9,0.24,0.4,1.6,0.056,11.0,25.0,0.9967,3.32,0.87,8.7,6,Lote_D,25.86119623379197
6.6,0.52,0.04,2.2,0.069,8.0,15.0,0.9956,3.4,0.63,9.4,6,Lote_D,24.891464910581288
8.8,0.41,0.64,2.2,0.093,9.0,42.0,0.9986,3.54,0.66,10.5,5,Lote_B,20.832075743814443
8.9,0.31,0.57,2.0,0.111,26.0,85.0,0.9971,3.26,0.53,9.7,5,Lote_A,19.900591948555675
7.7,0.18,,,0.066,15.0,58.0,0.9947,3.37,,11.8,6,Lote_C,27.57318453290179
12.1,0.4,0.52,2.0,0.092,15.0,54.0,1.0,3.03,0.66,10.2,5,Lote_B,20.13061215769863
10.8,0.26,0.45,3.3,0.06,20.0,49.0,0.9972,3.13,0.54,9.6,5,Lote_D,33.14606315650136
10.0,0.35,0.45,2.5,0.092,20.0,88.0,0.99918,3.15,0.43,9.4,5,Lote_D,16.19268917290525
10.9,0.21,0.49,2.8,0.088,11.0,32.0,0.9972,3.22,0.68,11.7,6,Lote_B,25.31782859693009
8.0,0.71,0.0,2.6,0.08,11.0,34.0,0.9976,3.44,0.53,9.5,5,Lote_C,19.408382886595046
9.1,0.775,0.22,2.2,0.079,12.0,48.0,0.9976,3.18,0.51,9.6,5,Lote_B,24.875255476517342
10.2,0.36,0.64,2.9,0.122,10.0,41.0,0.998,3.23,0.66,12.5,6,Lote_A,15.023223180379915
9.8,1.24,0.34,2.0,0.079,32.0,151.0,0.998,3.15,0.53,9.5,5,Lote_A,18.19307116409081
9.5,0.78,0.22,1.9,0.077,6.0,32.0,0.9988,3.26,0.56,10.6,6,Lote_D,11.77111735242341
9.4,0.5,0.34,3.6,0.082,5.0,14.0,0.9987,3.29,0.52,10.7,6,Lote_C,31.81816721837692
7.5,0.51,0.02,1.7,0.084,13.0,31.0,0.99538,3.36,0.54,10.5,6,Lote_B,21.680800231380204
10.0,0.31,0.47,2.6,0.085,14.0,33.0,0.99965,3.36,0.8,10.5,7,Lote_D,15.24834515901641
7.2,0.36,0.46,2.1,0.074,24.0,44.0,0.99534,3.4,0.85,11.0,7,Lote_B,25.239710308760714
10.4,0.44,0.42,1.5,4.936467068110611,34.0,48.0,0.99832,3.38,0.86,9.9,3,Lote_B,24.017229061827912
6.6,0.84,0.03,2.3,0.059,32.0,48.0,0.9952,3.52,0.56,12.3,7,Lote_C,19.302472622567144
12.8,0.615,0.66,5.8,0.083,7.0,42.0,1.0022,3.07,0.73,10.0,7,Lote_D,22.590334719225456
6.6,0.705,0.07,1.6,1.4055108964619596,6.0,15.0,0.9962,3.44,0.58,10.7,5,Lote_D,17.46281357046009
7.4,0.49,0.19,3.0,0.077,16.0,37.0,0.9966,3.37,0.51,10.5,5,Lote_A,11.29509071315813
7.3,0.365,,,0.088,39.0,106.0,0.9966,3.36,,11.0,5,Lote_D,35.709834886439
8.3,0.715,0.15,1.8,0.089,10.0,52.0,0.9968,3.23,0.77,9.5,5,Lote_A,16.705507890118984
8.6,0.725,,,0.117,31.0,134.0,1.0014,3.32,,9.3,5,Lote_C,23.11278166671291
7.5,0.6,0.32,2.7,0.103,13.0,98.0,0.99938,3.45,0.62,9.5,5,Lote_C,24.880741790423546
6.6,0.57,0.02,2.1,0.115,6.0,16.0,0.99654,3.38,0.69,9.5,5,Lote_B,17.5401331543044
9.5,0.46,0.24,2.7,0.092,14.0,44.0,0.998,3.12,0.74,10.0,6,Lote_D,16.415668898212044
6.6,0.855,0.02,2.4,0.062,15.0,23.0,0.99627,3.54,0.6,11.0,6,Lote_A,22.732613154860196
8.0,1.18,0.21,1.9,0.083,14.0,41.0,0.99532,3.34,0.47,10.5,5,Lote_C,24.42729479450169
9.0,0.8,0.12,2.4,0.083,8.0,28.0,0.99836,3.33,0.65,10.4,6,Lote_B,25.4513725317213
7.5,0.51,0.02,1.7,0.084,13.0,31.0,0.99538,3.36,0.54,10.5,6,Lote_B,19.642771714506097
8.3,0.6,0.25,2.2,0.118,9.0,38.0,0.99616,3.15,0.53,9.8,5,Lote_D,13.285478008651959
8.2,0.33,0.39,2.5,0.074,29.0,48.0,0.99528,3.32,0.88,12.4,7,Lote_C,23.844486816122366
7.0,0.42,,,0.088,16.0,39.0,0.9961,3.34,,9.2,5,Lote_D,15.584213774517615
6.7,0.62,,,0.079,8.0,62.0,0.997,3.52,,9.3,6,Lote_C,21.280807292169122
6.1,0.48,,,0.078,18.0,30.0,0.99402,3.45,,11.2,6,Lote_B,23.27805199126446
7.0,0.69,0.0,1.9,0.114,3.0,10.0,0.99636,3.35,0.6,9.7,6,Lote_D,23.803863748353066
7.2,0.34,0.32,2.5,0.09,43.0,113.0,0.9966,3.32,0.79,11.1,5,Lote_B,14.441873361306367
11.6,0.41,0.58,2.8,0.096,25.0,101.0,1.00024,3.13,0.53,10.0,5,Lote_D,16.188792689352088
7.6,0.3,,,0.052,6.0,24.0,0.9963,3.44,,11.9,6,Lote_B,22.75047528513847
10.6,0.36,0.59,2.2,0.152,6.0,18.0,0.9986,3.04,1.05,9.4,5,Lote_C,24.02596337390474
8.2,0.2,0.43,2.5,0.076,31.0,51.0,0.99672,3.53,0.81,10.4,6,Lote_C,12.750299102418737
9.4,0.3,,,0.08,6.0,17.0,0.9964,3.15,,11.7,8,Lote_B,22.41946158620945
6.6,0.855,0.02,2.4,0.062,15.0,23.0,0.99627,3.54,0.6,11.0,6,Lote_B,21.530071990089482
5.7,0.6,0.0,1.4,0.063,11.0,18.0,0.99191,3.45,0.56,12.2,6,Lote_B,26.813369311835288
10.4,0.34,0.58,3.7,0.174,6.0,16.0,0.997,3.19,0.7,11.3,6,Lote_C,26.58471781616281
7.6,0.48,0.31,2.8,0.07,4.0,15.0,0.99693,3.22,0.55,10.3,6,Lote_A,22.562497761107586
6.4,0.795,0.0,2.2,0.065,28.0,52.0,0.99378,3.49,0.52,11.6,5,Lote_C,19.794922894982683
10.4,0.38,0.46,2.1,0.104,6.0,10.0,0.99664,3.12,0.65,11.8,7,Lote_C,24.90242499760286
9.6,0.54,0.42,2.4,0.081,25.0,52.0,0.997,3.2,0.71,11.4,6,Lote_A,22.517145413009388
6.3,0.51,0.13,2.3,0.076,29.0,40.0,0.99574,3.42,0.75,11.0,6,Lote_A,23.309977835316527
10.4,0.41,0.55,3.2,0.076,22.0,54.0,0.9996,3.15,0.89,9.9,6,Lote_A,22.165723846159544
8.6,0.37,0.65,6.4,0.08,3.0,8.0,0.99817,3.27,0.58,11.0,5,Lote_B,15.24074762662688
8.7,0.7,0.24,2.5,0.226,5.0,15.0,0.9991,3.32,0.6,9.0,6,Lote_A,21.237488984186054
9.9,0.4,0.53,6.7,0.097,6.0,19.0,0.9986,3.27,0.82,11.7,7,Lote_D,8.57590213837214
6.5,0.39,0.23,8.3,0.051,28.0,91.0,0.9952,3.44,0.55,12.1,6,Lote_B,10.74529821052366
8.9,0.59,0.5,2.0,0.337,27.0,81.0,0.9964,3.04,1.61,9.5,6,Lote_B,25.169816282495113
7.1,0.46,0.2,1.9,0.077,28.0,54.0,0.9956,3.37,0.64,10.4,6,Lote_C,17.026970830802476
10.1,0.45,0.23,1.9,0.082,10.0,18.0,0.99774,3.22,0.65,9.3,6,Lote_A,8.479488301213568
10.4,0.33,0.63,2.8,0.084,5.0,22.0,0.9998,3.26,0.74,11.2,7,Lote_B,9.230603776442134
9.2,0.53,0.24,2.6,0.078,28.0,139.0,0.99788,3.21,0.57,9.5,5,Lote_A,22.564218065396886
7.6,0.43,0.29,2.1,0.075,19.0,66.0,0.99718,3.4,0.64,9.5,5,Lote_C,20.555860801447682
8.8,0.42,0.21,2.5,0.092,33.0,88.0,0.99823,3.19,0.52,9.2,5,Lote_C,20.763589496099144
7.7,0.28,0.3,2.0,0.062,18.0,34.0,0.9952,3.28,0.9,11.3,7,Lote_B,15.848724054814047
8.8,0.3,0.38,2.3,0.06,19.0,72.0,0.99543,3.39,0.72,11.8,6,Lote_A,25.265287165076895
7.9,0.885,0.03,1.8,0.058,4.0,8.0,0.9972,3.36,0.33,9.1,4,Lote_C,25.094434976112403
9.1,0.3,0.41,2.0,0.068,10.0,24.0,0.99523,3.27,0.85,11.7,7,Lote_B,31.264434411098748
10.8,0.29,,,0.084,19.0,27.0,0.99545,3.28,,11.9,6,Lote_B,23.027698890402018
7.7,0.57,0.21,1.5,0.069,4.0,9.0,0.99458,3.16,0.54,9.8,6,Lote_C,19.06938826123915
6.8,0.67,0.02,1.8,0.05,5.0,11.0,0.9962,3.48,0.52,9.5,5,Lote_A,16.147388945829483
7.0,0.65,0.02,2.1,0.066,8.0,25.0,0.9972,3.47,0.67,9.5,6,Lote_A,21.391645306101076
8.3,0.26,,,0.08,11.0,27.0,0.9974,3.21,,9.4,6,Lote_A,21.876256278093592
7.4,0.67,0.12,1.6,0.186,5.0,21.0,0.996,3.39,0.54,9.5,5,Lote_C,22.889084454405697
11.7,0.49,0.49,2.2,0.083,5.0,15.0,1.0,3.19,0.43,9.2,5,Lote_D,17.16122468412903
6.4,0.79,0.04,2.2,0.061,11.0,17.0,0.99588,3.53,0.65,10.4,6,Lote_D,25.177916438114863
6.0,0.5,0.04,2.2,0.092,13.0,26.0,0.99647,3.46,0.47,10.0,5,Lote_B,18.835532933814505
6.6,0.58,0.02,2.4,0.069,19.0,40.0,0.99387,3.38,0.66,12.6,6,Lote_B,10.72081114524838
6.6,0.66,0.0,3.0,0.115,21.0,31.0,0.99629,3.45,0.63,10.3,5,Lote_D,21.235133218025563
9.1,0.795,0.0,2.6,0.096,11.0,26.0,0.9994,3.35,0.83,9.4,6,Lote_B,20.457928693468816
6.1,0.705,0.1,2.8,0.081,13.0,28.0,0.99631,3.6,0.66,10.2,5,Lote_D,31.391665145808165
8.2,0.64,,,0.095,5.0,77.0,0.99747,3.13,,9.1,6,Lote_B,14.289346752843265
